date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2024-09-07,09:00 AM,Group Play,Alabama FC ECNL G12,1,5,Florida Krush ECNL G12,Dunnavant Valley Fields (DVF),Field #1,On Time,647562
2024-09-07,09:00 AM,Group Play,Atlanta Fire United ECNL G12,3,1,Florida Elite ECNL G12,Scott Hudgens Park,Field 5,On Time,647576
2024-09-07,09:00 AM,Group Play,GSA ECNL G12,4,1,FL Premier FC ECNL G12,Rabbit Hill Park,Field 2,On Time,647600
2024-09-07,09:00 AM,Group Play,United Futbol Academy ECNL G12,0,1,Jacksonville FC ECNL G12,Fowler Park,Field 6,On Time,647652
2024-09-07,10:00 AM,Group Play,CESA Liberty ECNL G12,0,1,FC Prime ECNL G12,Mesa Soccer Complex,Field 19,On Time,647548
2024-09-07,10:00 AM,Group Play,Concorde Fire Platinum ECNL G12,6,0,Tampa Bay United ECNL G12,Georgia Soccer Park,Field 4,On Time,647684
2024-09-07,01:00 PM,Group Play,South Carolina United ECNL G12,0,1,Florida West FC ECNL G12,Southeastern Freight Lines Complex,Field 1,On Time,647624
2024-09-07,02:00 PM,Group Play,Concorde Fire Premier ECNL G12,5,2,Orlando City ECNL G12,Georgia Soccer Park,Field 2,On Time,647658
2024-09-08,08:00 AM,Group Play,South Carolina United ECNL G12,2,1,FC Prime ECNL G12,Southeastern Freight Lines Complex,Field 1,On Time,647560
2024-09-08,09:00 AM,Group Play,United Futbol Academy ECNL G12,0,0,Florida Elite ECNL G12,Fowler Park,Field 6,On Time,647588
2024-09-08,09:00 AM,Group Play,Concorde Fire Platinum ECNL G12,2,2,FL Premier FC ECNL G12,Georgia Soccer Park,Field 5,On Time,647592
2024-09-08,09:00 AM,Group Play,CESA Liberty ECNL G12,5,0,Florida West FC ECNL G12,Mesa Soccer Complex,Field 19,On Time,647610
2024-09-08,09:00 AM,Group Play,Atlanta Fire United ECNL G12,1,3,Jacksonville FC ECNL G12,Pinecrest Academy,Grass,On Time,647642
2024-09-08,09:00 AM,Group Play,Alabama FC ECNL G12,5,0,Orlando City ECNL G12,Dunnavant Valley Fields (DVF),Field #1,On Time,647654
2024-09-08,09:00 AM,Group Play,GSA ECNL G12,7,0,Tampa Bay United ECNL G12,Rabbit Hill Park,Field 2,On Time,647692
2024-09-08,11:00 AM,Group Play,Concorde Fire Premier ECNL G12,2,1,Florida Krush ECNL G12,Georgia Soccer Park,Field 3,On Time,647566
2024-09-21,08:30 AM,Group Play,Jacksonville FC ECNL G12,2,0,CESA Liberty ECNL G12,Patton Park,Field 2,On Time,647508
2024-09-21,09:00 AM,Group Play,Florida Krush ECNL G12,2,0,Atlanta Fire United ECNL G12,Central Winds,Field A,On Time,647480
2024-09-21,09:00 AM,Group Play,Florida Elite ECNL G12,3,0,South Carolina United ECNL G12,Veterans Park,Field 1,On Time,647672
2024-09-21,11:00 AM,Group Play,Tampa Bay United ECNL G12,0,7,Alabama FC ECNL G12,Ed Radice Sports Complex,Field 5,On Time,647498
2024-09-21,11:00 AM,Group Play,FL Premier FC ECNL G12,3,0,Concorde Fire Premier ECNL G12,Starkey Ranch District Park,Field 1,On Time,647540
2024-09-21,11:00 AM,Group Play,Orlando City ECNL G12,0,1,United Futbol Academy ECNL G12,Seminole,Field 2,On Time,647712
2024-09-21,11:30 AM,Group Play,FC Prime ECNL G12,2,2,GSA ECNL G12,Belen Jesuit Preparatory School,Hernandez Field,On Time,647632
2024-09-21,01:00 PM,Group Play,Florida West FC ECNL G12,0,2,Concorde Fire Platinum ECNL G12,JetBlue Park,Field 1,On Time,647524
2024-09-22,08:00 AM,Group Play,FL Premier FC ECNL G12,4,0,Alabama FC ECNL G12,Starkey Ranch District Park,Field 3,On Time,647492
2024-09-22,08:30 AM,Group Play,Jacksonville FC ECNL G12,1,0,South Carolina United ECNL G12,Patton Park,Field 3,On Time,647676
2024-09-22,09:00 AM,Group Play,Florida Elite ECNL G12,0,3,CESA Liberty ECNL G12,Veterans Park,Field 1,On Time,647504
2024-09-22,09:00 AM,Group Play,FC Prime ECNL G12,1,2,Concorde Fire Platinum ECNL G12,North Community Park,North,On Time,647520
2024-09-22,11:00 AM,Group Play,Orlando City ECNL G12,2,5,Atlanta Fire United ECNL G12,Seminole,Field 1,On Time,647486
2024-09-22,11:00 AM,Group Play,Tampa Bay United ECNL G12,1,4,Concorde Fire Premier ECNL G12,Ed Radice Sports Complex,Field 5,On Time,647544
2024-09-22,11:00 AM,Group Play,Florida West FC ECNL G12,0,4,GSA ECNL G12,JetBlue Park,Field 3,On Time,647636
2024-09-22,11:00 AM,Group Play,Florida Krush ECNL G12,7,0,United Futbol Academy ECNL G12,Central Winds,Field A,On Time,647706
2024-09-28,09:00 AM,Group Play,South Carolina United ECNL G12,0,7,Florida Krush ECNL G12,Southeastern Freight Lines Complex,Field 1,On Time,647572
2024-09-28,11:00 AM,Group Play,CESA Liberty ECNL G12,6,1,Orlando City ECNL G12,Mesa Soccer Complex,Field 3,On Time,647656
2024-09-29,09:00 AM,Group Play,CESA Liberty ECNL G12,1,2,Florida Krush ECNL G12,Mesa Soccer Complex,Field 3,On Time,647564
2024-09-29,01:00 PM,Group Play,South Carolina United ECNL G12,3,0,Orlando City ECNL G12,Southeastern Freight Lines Complex,Field 1,On Time,647662
2024-10-19,08:30 AM,Group Play,Jacksonville FC ECNL G12,0,2,Concorde Fire Premier ECNL G12,Patton Park,Field 2,On Time,647542
2024-10-19,09:00 AM,Group Play,FC Prime ECNL G12,2,2,Atlanta Fire United ECNL G12,University School ,Dolphin,On Time,647478
2024-10-19,09:00 AM,Group Play,Florida Elite ECNL G12,4,0,Alabama FC ECNL G12,Veterans Park,Field 1,On Time,647490
2024-10-19,09:00 AM,Group Play,Orlando City ECNL G12,0,7,Concorde Fire Platinum ECNL G12,Seminole,Field 2,On Time,647526
2024-10-19,11:00 AM,Group Play,Florida Krush ECNL G12,0,0,GSA ECNL G12,Central Winds,Field A,On Time,647634
2024-10-19,01:00 PM,Group Play,Florida West FC ECNL G12,1,2,United Futbol Academy ECNL G12,JetBlue Park,Field 2,On Time,647708
2024-10-20,08:30 AM,Group Play,Jacksonville FC ECNL G12,5,1,Alabama FC ECNL G12,Patton Park,Field 2,On Time,647496
2024-10-20,11:00 AM,Group Play,Florida Krush ECNL G12,2,0,Concorde Fire Platinum ECNL G12,Central Winds,Field A,On Time,647522
2024-10-20,11:00 AM,Group Play,Orlando City ECNL G12,1,4,GSA ECNL G12,Seminole,Stadium Field,On Time,647638
2024-10-20,01:00 PM,Group Play,Florida West FC ECNL G12,0,4,Atlanta Fire United ECNL G12,JetBlue Park,Field 2,On Time,647482
2024-10-20,01:00 PM,Group Play,Florida Elite ECNL G12,2,2,Concorde Fire Premier ECNL G12,Veterans Park,Field 1,On Time,647538
2024-10-20,01:00 PM,Group Play,FC Prime ECNL G12,2,0,United Futbol Academy ECNL G12,University School ,Dolphin,On Time,647704
2024-10-26,08:30 AM,Group Play,Jacksonville FC ECNL G12,1,2,FL Premier FC ECNL G12,Patton Park,Field 2,On Time,647602
2024-10-26,12:00 PM,Group Play,Florida Elite ECNL G12,3,0,Tampa Bay United ECNL G12,Veterans Park,Field 1,On Time,647688
2024-10-27,08:30 AM,Group Play,Jacksonville FC ECNL G12,2,0,Tampa Bay United ECNL G12,Patton Park,Field 1,On Time,647694
2024-10-27,09:00 AM,Group Play,Florida Elite ECNL G12,1,2,FL Premier FC ECNL G12,Veterans Park,Field 1,On Time,647596
2024-11-09,10:00 AM,Group Play,FL Premier FC ECNL G12,2,0,South Carolina United ECNL G12,Starkey Ranch District Park,Field 3,On Time,647674
2024-11-09,01:00 PM,Group Play,Tampa Bay United ECNL G12,0,3,CESA Liberty ECNL G12,Monroe Middle School - TBU South,Field 3,On Time,647512
2024-11-10,12:30 PM,Group Play,FL Premier FC ECNL G12,1,1,CESA Liberty ECNL G12,Starkey Ranch District Park,Field 2,On Time,647506
2024-11-10,01:00 PM,Group Play,Tampa Bay United ECNL G12,0,1,South Carolina United ECNL G12,Monroe Middle School - TBU South,Field 3,On Time,647678
2024-11-16,01:00 PM,Group Play,Alabama FC ECNL G12,1,2,Concorde Fire Premier ECNL G12,Dunnavant Valley Fields (DVF),Field # 2,On Time,647532
2025-02-08,01:00 PM,Group Play,South Carolina United ECNL G12,0,4,CESA Liberty ECNL G12,Southeastern Freight Lines Complex,Field 2,On Time,647510
2025-02-15,12:00 PM,Group Play,Concorde Fire Premier ECNL G12,4,1,Florida West FC ECNL G12,MOBA SOCCER ACADEMY,Field 1,On Time,647612
2025-02-15,01:00 PM,Group Play,Alabama FC ECNL G12,1,0,FC Prime ECNL G12,Veterans Park,Field 2,On Time,647546
2025-02-16,08:00 AM,Group Play,Alabama FC ECNL G12,3,3,Florida West FC ECNL G12,Veterans Park,Field 2,On Time,647608
2025-02-16,10:45 AM,Group Play,Concorde Fire Premier ECNL G12,0,3,FC Prime ECNL G12,MOBA SOCCER ACADEMY,Field 1,On Time,647550
2025-02-22,09:00 AM,Group Play,United Futbol Academy ECNL G12,0,7,FL Premier FC ECNL G12,Fowler Park,Field 6,On Time,647606
2025-02-22,09:00 AM,Group Play,Atlanta Fire United ECNL G12,5,1,Tampa Bay United ECNL G12,Pinecrest Academy,Turf,On Time,647682
2025-02-23,09:00 AM,Group Play,Atlanta Fire United ECNL G12,0,2,FL Premier FC ECNL G12,Pinecrest Academy,Turf,On Time,647590
2025-02-23,09:00 AM,Group Play,United Futbol Academy ECNL G12,0,1,Tampa Bay United ECNL G12,Fowler Park,Field 6,On Time,647696
2025-03-01,03:45 AM,Group Play,Concorde Fire Platinum ECNL G12,3,1,Concorde Fire Premier ECNL G12,Georgia Soccer Park,Field 5,On Time,647536
2025-03-01,01:00 PM,Group Play,CESA Liberty ECNL G12,2,1,Alabama FC ECNL G12,Mesa Soccer Complex,Field 15,On Time,647488
2025-03-01,03:00 PM,Group Play,South Carolina United ECNL G12,0,2,GSA ECNL G12,Southeastern Freight Lines Complex,Field 2,On Time,647640
2025-03-08,10:00 AM,Group Play,Concorde Fire Platinum ECNL G12,3,1,Jacksonville FC ECNL G12,Georgia Sports Park ,Field 2,On Time,647644
2025-03-08,01:00 PM,Group Play,GSA ECNL G12,1,1,Florida Elite ECNL G12,GSA South,#7,On Time,647582
2025-03-08,01:00 PM,Group Play,Concorde Fire Premier ECNL G12,4,0,South Carolina United ECNL G12,Georgia Soccer Park,Field 5,On Time,647670
2025-03-09,09:00 AM,Group Play,Atlanta Fire United ECNL G12,1,0,South Carolina United ECNL G12,Pinecrest Academy,Turf,On Time,647666
2025-03-09,11:00 AM,Group Play,Concorde Fire Platinum ECNL G12,2,1,Florida Elite ECNL G12,Georgia Sports Park ,Field 2,On Time,647578
