rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Slammers FC HB Koge ECNL G12,Slammers FC HB Koge,85791,16,14,0,2,44,2.75,62,4,58
2,San Diego Surf ECNL G12,San Diego Surf Soccer Club,84689,16,12,0,4,40,2.5,68,7,61
3,So Cal Blues ECNL G12,So Cal Blues,84702,16,11,1,4,37,2.31,49,8,41
4,SLAMMERS FC ECNL G12,Slammers FC,89212,16,9,5,2,29,1.81,28,12,16
5,Beach FC ECNL G12,Beach Futbol Club,94657,16,8,5,3,27,1.69,28,20,8
6,Utah Royals FC-AZ ECNL G12,Utah Royals FC - AZ,85099,16,7,3,6,27,1.69,18,14,4
7,Rebels SC ECNL G12,Rebels Soccer Club,94955,16,7,5,4,25,1.56,18,15,3
8,Legends FC San Diego ECNL G12,Legends FC - Del Mar,90127,16,7,5,4,25,1.56,26,22,4
9,Pateadores ECNL G12,Pateadores Soccer Club,53888,16,7,7,2,23,1.44,18,35,-17
10, LV Heat Surf ECNL G12,LV Heat Surf SC ,84197,16,5,8,3,18,1.13,17,34,-17
11,Legends FC ECNL G12,Legends FC (CA),88395,16,4,7,5,17,1.06,16,22,-6
12,LAFC So Cal ECNL G12,LAFC So Cal,94592,16,4,7,5,17,1.06,12,27,-15
13,Eagles SC ECNL G12,Eagles SC,64010,16,4,10,2,14,0.88,20,36,-16
14,Sporting California USA ECNL G12,Sporting California USA,95281,16,2,7,7,13,0.81,13,32,-19
15,Phoenix Rising ECNL G12,Phoenix Rising FC,81125,16,2,9,5,11,0.69,8,27,-19
16,Arizona Arsenal ECNL G12,Arizona Arsenal Soccer Club,88341,16,2,13,1,7,0.44,11,50,-39
17,LA Breakers FC ECNL G12,LA Breakers FC,84686,16,0,13,3,3,0.19,8,55,-47
