date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2025-09-06,10:00 AM,Group Play,NCFC Youth ECNL G13,1,3,Charlotte SA ECNL G13,WRAL ,Field 5,On Time,906430
2025-09-06,11:00 AM,Group Play,Beach FC (VA) ECNL G13,4,4,NC Fusion ECNL G13,Hampton Roads Soccer Complex,Field 8,On Time,906428
2025-09-06,02:00 PM,Group Play,Richmond United ECNL G13,1,0,Wilmington Hammerheads ECNL G13,West Creek,Field 7,On Time,906424
2025-09-06,02:00 PM,Group Play,VDA ECNL G13,3,2,NC Courage ECNL G13,Long Park,Field 5,On Time,906426
2025-09-07,10:00 AM,Group Play,Richmond United ECNL G13,2,1,NC Courage ECNL G13,West Creek,Field 8,On Time,906432
2025-09-07,10:00 AM,Group Play,Beach FC (VA) ECNL G13,0,9,Charlotte SA ECNL G13,Hampton Roads Soccer Complex,Field 8,On Time,906436
2025-09-07,01:00 PM,Group Play,VDA ECNL G13,2,3,Wilmington Hammerheads ECNL G13,Howison Park,Field 1,On Time,906434
2025-09-13,12:00 PM,Group Play,NCFC Youth ECNL G13,1,1,Beach FC (VA) ECNL G13,WRAL ,Field 5,On Time,906438
2025-09-20,10:00 AM,Group Play,Wilmington Hammerheads ECNL G13,0,4,Fairfax VA Union ECNL G13,NCINO Sports Park,Field 7,On Time,906444
2025-09-20,10:00 AM,Group Play,NC Courage ECNL G13,1,2,Arlington Soccer ECNL G13,WRAL Soccer Complex,WRAL 04 Accentuate Staffing ,On Time,906446
2025-09-20,12:00 PM,Group Play,Charlotte SA ECNL G13,3,0,VDA ECNL G13,OrthoCarolina Sportsplex,Field 5,On Time,906442
2025-09-20,02:30 PM,Group Play,NC Fusion ECNL G13,0,2,Richmond United ECNL G13,Truist Soccer Complex at Bryan Park,BP 02 Triton Management,On Time,906440
2025-09-21,09:00 AM,Group Play,NC Courage ECNL G13,2,5,Fairfax VA Union ECNL G13,WRAL Soccer Complex,WRAL 04 Accentuate Staffing ,On Time,906452
2025-09-21,11:00 AM,Group Play,Charlotte SA ECNL G13,2,0,Richmond United ECNL G13,OrthoCarolina Sportsplex,Field 5,On Time,906448
2025-09-21,11:00 AM,Group Play,NC Fusion ECNL G13,0,6,VDA ECNL G13,Truist Soccer Complex at Bryan Park,BP 07,On Time,906450
2025-09-21,11:00 AM,Group Play,Wilmington Hammerheads ECNL G13,2,4,Arlington Soccer ECNL G13,NCINO Sports Park,Field 6,On Time,906454
2025-09-27,01:00 PM,Group Play,Arlington Soccer ECNL G13,1,1,VDA ECNL G13,Long Bridge Park,Boeing #3,On Time,906456
2025-10-04,09:00 AM,Group Play,Arlington Soccer ECNL G13,3,1,NCFC Youth ECNL G13,Long Bridge Park,Boeing #3,On Time,906462
2025-10-04,10:00 AM,Group Play,NC Fusion ECNL G13,1,2,Wilmington Hammerheads ECNL G13,Truist Soccer Complex at Bryan Park,BP 07,On Time,906464
2025-10-04,01:30 PM,Group Play,Fairfax VA Union ECNL G13,2,0,Richmond United ECNL G13,WT Woodson High School,Aux Turf,On Time,906458
2025-10-04,04:30 PM,Group Play,VDA ECNL G13,1,1,Beach FC (VA) ECNL G13,Long Park,Field 5,On Time,906460
2025-10-05,10:00 AM,Group Play,Richmond United ECNL G13,2,0,Beach FC (VA) ECNL G13,West Creek,Field 7,On Time,906466
2025-10-05,11:00 AM,Group Play,VDA ECNL G13,3,0,NCFC Youth ECNL G13,Howison Park,Field 1,On Time,906468
2025-10-18,02:00 PM,Group Play,NCFC Youth ECNL G13,1,3,Fairfax VA Union ECNL G13,WRAL ,Field 5,On Time,906470
2025-10-19,01:00 PM,Group Play,Charlotte SA ECNL G13,2,2,NC Courage ECNL G13,OrthoCarolina Sportsplex,Field 6,On Time,906472
2025-10-25,10:00 AM,Group Play,NC Courage ECNL G13,2,0,Beach FC (VA) ECNL G13,WRAL Soccer Complex,WRAL 21 CRUMBL,On Time,906474
2025-10-25,10:00 AM,Group Play,Charlotte SA ECNL G13,5,0,NC Fusion ECNL G13,OrthoCarolina Sportsplex,Field 5,On Time,906478
2025-10-25,03:00 PM,Group Play,Wilmington Hammerheads ECNL G13,1,0,NCFC Youth ECNL G13,NCINO Sports Park,Field 7,On Time,906476
