rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,SLSG Navy ECNL G08/07,St. Louis Scott Gallagher,46768,15,14,1,0,42,2.8,53,8,45
2,Michigan Hawks ECNL G08/07,Michigan Hawks,46771,15,14,1,0,42,2.8,64,8,56
3,Nationals Soccer Club ECNL G08/07,Nationals,94344,15,11,3,1,34,2.27,57,22,35
4,Liverpool FC IA Michigan ECNL G08/07,Liverpool FC-IA Michigan,59307,15,8,4,3,27,1.8,28,19,9
5,Sporting Blue Valley ECNL G08/07,Sporting Blue Valley,46617,14,8,5,1,25,1.79,36,26,10
6,Gretna Elite Academy ECNL G08/07,Gretna Elite Academy,11467,15,8,6,1,25,1.67,24,26,-2
7,Kansas City Athletics ECNL G08/07,KC Athletics,19672,15,8,6,1,25,1.67,39,27,12
8,Minnesota Thunder ECNL G08/07,Minnesota Thunder Academy,46774,13,6,4,3,21,1.62,42,20,22
9,Chicago Inter Soccer ECNL G08/07,Chicago Inter,69851,15,7,8,0,21,1.4,30,28,2
10,Rockford Raptors ECNL G08/07,Rockford Raptors FC,60410,15,6,8,1,19,1.27,24,44,-20
11,Eclipse Select SC ECNL G08/07,Eclipse Select Soccer Club,46760,15,5,7,3,18,1.2,24,19,5
12,Michigan Hawks Magic ECNL G08/07,Michigan Hawks,46773,15,4,8,3,15,1.0,16,27,-11
13,SLSG Green ECNL G08/07,St. Louis Scott Gallagher,46767,13,3,9,1,10,0.77,9,32,-23
14,FC Wisconsin ECNL G08/07,FC Wisconsin Girls,46764,15,2,8,5,11,0.73,13,35,-22
15,Missouri Rush ECNL G08/07,Missouri Rush,114376,14,1,12,1,4,0.29,8,59,-51
16,Sporting Iowa ECNL G08/07,Sporting Iowa Central,59751,15,0,15,0,0,0.0,6,73,-67
