rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Penn Fusion SA ECNL G08/07,Penn Fusion Soccer Academy,44737,9,8,0,1,25,2.78,51,2,49
2,PDA Blue ECNL G08/07,PDA Blue (North),3701,9,8,0,1,25,2.78,48,3,45
3,Pipeline SC ECNL G08/07,Pipeline SC,45827,9,5,3,1,16,1.78,20,12,8
4,HEX FC Bucks ECNL G08/07,HEX FC,26917,9,5,4,0,15,1.67,15,21,-6
5,Bethesda SC ECNL G08/07,Bethesda SC,46815,9,5,4,0,15,1.67,19,16,3
6,Maryland United FC ECNL G08/07,Maryland United Football Club,36637,9,4,5,0,12,1.33,13,15,-2
7,FC DELCO ECNL G08/07,FC DELCO,36383,9,3,4,2,11,1.22,13,19,-6
8,Match Fit Surf ECNL G08/07,Match Fit Surf,34505,9,3,6,0,9,1.0,9,30,-21
9,Philadelphia Ukrainian Nationals ECNL G08/07,Philadelphia Ukrainian Nationals,72153,9,1,8,0,3,0.33,4,38,-34
10,PDA White ECNL G08/07,PDA White (Shore),11460,9,0,8,1,1,0.11,2,38,-36
