rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,XF Academy ECNL G11,Crossfire Premier,82131,18,14,3,1,43,2.39,46,5,41
2,Utah Avalanche ECNL G11,Utah Avalanche,69910,18,13,2,3,42,2.33,40,10,30
3,Portland Thorns ECNL G11,Portland Thorns FC,78876,18,13,4,1,40,2.22,46,19,27
4,Eastside FC ECNL G11,Eastside FC (WA),76992,18,11,4,3,36,2.0,40,13,27
5,La Roca FC ECNL G11,La Roca FC,45851,18,9,7,2,29,1.61,23,27,-4
6,Washington Premier ECNL G11,Washington Premier FC,81526,18,9,7,2,29,1.61,31,35,-4
7,PacNW SC ECNL G11,PacNW,81140,18,3,11,4,13,0.72,20,42,-22
8,Oregon Surf ECNL G11,Oregon Surf SC,90909,18,3,13,2,11,0.61,9,35,-26
9,Seattle United ECNL G11,Seattle United,77000,18,2,14,2,8,0.44,15,40,-25
10,Boise Thorns FC ECNL G11,Boise Timbers | Thorns,82108,18,2,14,2,8,0.44,14,58,-44
