date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2025-11-22,02:00 PM,Group Play,Pittsburgh Riverhounds ECNL G08/07,2,1,Racing Louisville Academy ECNL G08/07,Montour Junction Sports Complex,Field 1,On Time,812285
2025-11-22,02:30 PM,Group Play,WNY Flash ECNL G08/07,2,1,Ohio Elite SA ECNL G08/07,Flash Fields,Field A,On Time,812281
2025-11-22,03:00 PM,Group Play,Ohio Premier ECNL G08/07,1,1,Internationals SC ECNL G08/07,Kilbourne Run Sports Park- 4625 Westerville Rd Col,field 3,On Time,812277
2025-11-22,05:00 PM,Group Play,GTFC Impact ECNL G08/07,1,2,Cleveland Force SC ECNL G08/07,Rossford Soccer Center Dome,Indoor 11v11,On Time,812273
2025-11-23,02:00 PM,Group Play,Pittsburgh Riverhounds ECNL G08/07,1,0,Ohio Elite SA ECNL G08/07,Montour Junction Sports Complex,Field 1,On Time,812309
2025-11-23,02:30 PM,Group Play,WNY Flash ECNL G08/07,5,0,Racing Louisville Academy ECNL G08/07,Flash Fields,Field A,On Time,812305
2025-11-23,03:00 PM,Group Play,Ohio Premier ECNL G08/07,1,0,Cleveland Force SC ECNL G08/07,Kilbourne Run Sports Park- 4625 Westerville Rd Col,field 3,On Time,812301
2025-11-23,05:00 PM,Group Play,GTFC Impact ECNL G08/07,2,6,Internationals SC ECNL G08/07,Rossford Soccer Center Dome,Indoor 11v11,On Time,812297
2026-01-17,02:30 PM,Group Play,Pittsburgh Riverhounds ECNL G08/07,1,1,WNY Flash ECNL G08/07,Montour Junction Sports Complex,Indoor,On Time,812341
2026-02-28,09:00 AM,Group Play,GTFC Impact ECNL G08/07,4,3,Tennessee SC ECNL G08/07,Rossford Soccer Center Dome,Indoor 11v11,On Time,812377
2026-02-28,03:30 PM,Group Play,Ohio Premier ECNL G08/07,2,0,FC Alliance ECNL G08/07,OP Training Facility,Field 2,On Time,812381
2026-03-01,09:00 AM,Group Play,Ohio Premier ECNL G08/07,1,1,Tennessee SC ECNL G08/07,OP Training Facility,Field 2,On Time,812389
2026-03-01,01:15 PM,Group Play,GTFC Impact ECNL G08/07,6,2,FC Alliance ECNL G08/07,Rossford Soccer Center Dome,Indoor 11v11,On Time,812385
2026-03-07,02:30 PM,Group Play,GTFC Impact ECNL G08/07,2,1,WNY Flash ECNL G08/07,Rossford Soccer Center Dome,Indoor 11v11,On Time,812401
2026-03-07,02:30 PM,Group Play,Ohio Premier ECNL G08/07,4,0,Pittsburgh Riverhounds ECNL G08/07,OP Training Facility,Field 2,On Time,812405
2026-03-08,02:00 PM,Group Play,GTFC Impact ECNL G08/07,1,2,Pittsburgh Riverhounds ECNL G08/07,Rossford Soccer Center Dome,Indoor 11v11,On Time,812425
2026-03-08,02:30 PM,Group Play,Ohio Premier ECNL G08/07,2,1,WNY Flash ECNL G08/07,OP Training Facility,Field 2,On Time,812429
2026-03-14,10:00 AM,Group Play,GTFC Impact ECNL G08/07,1,3,Ohio Premier ECNL G08/07,Findlay High School ,Elmer Graham Stadium,On Time,812653
2026-03-14,01:30 PM,Group Play,WNY Flash ECNL G08/07,1,1,Cleveland Force SC ECNL G08/07,Flash Fields,Field A,On Time,812441
2026-03-14,02:00 PM,Group Play,Pittsburgh Riverhounds ECNL G08/07,0,2,Internationals SC ECNL G08/07,Montour Junction Sports Complex,Field 2,On Time,812445
2026-03-15,01:30 PM,Group Play,WNY Flash ECNL G08/07,2,5,Internationals SC ECNL G08/07,Flash Fields,Field A,On Time,812453
2026-03-15,02:00 PM,Group Play,Pittsburgh Riverhounds ECNL G08/07,2,1,Cleveland Force SC ECNL G08/07,Highmark Stadium,Field 1,On Time,812457
2026-03-21,06:15 PM,Group Play,Internationals SC ECNL G08/07,4,1,Cleveland Force SC ECNL G08/07,Pinnacle Sports,OT 11v11,On Time,812321
2026-04-11,10:00 AM,Group Play,Internationals SC ECNL G08/07,3,1,Ohio Premier ECNL G08/07,Pinnacle Sports,OT 11v11,On Time,812465
2026-04-11,03:00 PM,Group Play,Cleveland Force SC ECNL G08/07,3,2,GTFC Impact ECNL G08/07,Euclid High School,Field 3 (Soccer Field),On Time,812461
2026-04-12,10:00 AM,Group Play,Internationals SC ECNL G08/07,4,0,GTFC Impact ECNL G08/07,Pinnacle Sports,OT 11v11,On Time,812489
2026-04-12,03:00 PM,Group Play,Cleveland Force SC ECNL G08/07,0,1,Ohio Premier ECNL G08/07,Euclid High School,Field 3 (Soccer Field),On Time,812485
2026-04-18,08:30 AM,Group Play,Pittsburgh Riverhounds ECNL G08/07,0,3,Ohio Premier ECNL G08/07,Montour Junction Sports Complex,Indoor,On Time,812525
2026-04-18,02:00 PM,Group Play,WNY Flash ECNL G08/07,3,2,GTFC Impact ECNL G08/07,Flash Fields,Field A,On Time,812521
2026-04-18,02:30 PM,Group Play,Internationals SC ECNL G08/07,3,0,FC Alliance ECNL G08/07,Pinnacle Sports,Field 1,On Time,812517
2026-04-18,03:00 PM,Group Play,Cleveland Force SC ECNL G08/07,1,0,Tennessee SC ECNL G08/07,Victory Park,Field 4,On Time,812513
2026-04-19,02:00 PM,Group Play,WNY Flash ECNL G08/07,0,2,Ohio Premier ECNL G08/07,Flash Fields,Field A1,On Time,812545
2026-04-19,02:00 PM,Group Play,Pittsburgh Riverhounds ECNL G08/07,1,5,GTFC Impact ECNL G08/07,Highmark Stadium,Field 1,On Time,812549
2026-04-19,02:30 PM,Group Play,Internationals SC ECNL G08/07,2,1,Tennessee SC ECNL G08/07,Pinnacle Sports,Field 1,On Time,812541
2026-04-19,03:00 PM,Group Play,Cleveland Force SC ECNL G08/07,3,0,FC Alliance ECNL G08/07,Victory Park,Field 4,On Time,812537
2026-05-02,09:00 AM,Group Play,Cleveland Force SC ECNL G08/07,5,2,WNY Flash ECNL G08/07,Victory Park,Field 3,On Time,812585
2026-05-02,09:00 AM,Group Play,Internationals SC ECNL G08/07,4,0,Pittsburgh Riverhounds ECNL G08/07,Pinnacle Sports,OT 11v11,On Time,812589
2026-05-02,09:00 AM,Group Play,GTFC Impact ECNL G08/07,3,4,Indy Eleven Pro Academy ECNL G08,Rossford Soccer Center Dome,Indoor 11v11,On Time,812593
2026-05-02,10:00 AM,Group Play,Ohio Premier ECNL G08/07,3,0,FC Pride Elite ECNL G08/07,OP Training Facility,Field 2,On Time,812597
2026-05-03,02:00 PM,Group Play,GTFC Impact ECNL G08/07,5,4,FC Pride Elite ECNL G08/07,Rossford Soccer Center Dome,Indoor 11v11,On Time,812617
2026-05-03,02:30 PM,Group Play,Internationals SC ECNL G08/07,4,3,WNY Flash ECNL G08/07,Pinnacle Sports,OT 11v11,On Time,812613
2026-05-03,03:00 PM,Group Play,Cleveland Force SC ECNL G08/07,3,1,Pittsburgh Riverhounds ECNL G08/07,Victory Park,Field 3,On Time,812609
2026-05-16,09:00 AM,Group Play,Cleveland Force SC ECNL G08/07,0,2,Internationals SC ECNL G08/07,Victory Park,Field 4,On Time,812645
2026-05-16,06:45 PM,Group Play,Ohio Premier ECNL G08/07,4,0,GTFC Impact ECNL G08/07,OP Training Facility,Field 2,On Time,812325
2026-05-17,03:00 PM,Group Play,WNY Flash ECNL G08/07,3,0,Pittsburgh Riverhounds ECNL G08/07,Sahlen's Sports Park,Field #45,On Time,812649
2026-05-19,07:00 PM,Group Play,Ohio Premier ECNL G08/07,1,0,Indy Eleven Pro Academy ECNL G08,OP Training Facility,Field 2,On Time,812621
