date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2025-11-22,01:00 PM,Group Play,Indy Eleven Pro Academy ECNL G10,0,1,Tennessee SC ECNL G10,Grand Park,Field 4,On Time,812291
2025-11-22,02:00 PM,Group Play,FC Pride Elite ECNL G10,4,0,FC Alliance ECNL G10,Pride Performance Center (Turf),Field 1,On Time,812295
2025-11-23,11:00 AM,Group Play,Indy Eleven Pro Academy ECNL G10,1,0,FC Alliance ECNL G10,Grand Park,Field 4,On Time,812315
2025-11-23,12:30 PM,Group Play,FC Pride Elite ECNL G10,0,2,Tennessee SC ECNL G10,Pride Performance Center (Turf),Field 1,On Time,812319
2026-02-14,11:00 AM,Group Play,Racing Louisville Academy ECNL G10,0,5,FC Pride Elite ECNL G10,Lynn Family Sports Vision & Training Facility,Field 1,On Time,812351
2026-02-15,11:00 AM,Group Play,Racing Louisville Academy ECNL G10,0,2,Indy Eleven Pro Academy ECNL G10,Lynn Family Sports Vision & Training Facility,Field 4,On Time,812359
2026-02-21,09:00 AM,Group Play,Tennessee SC ECNL G10,0,0,WNY Flash ECNL G10,Bethesda Sports Park,Field 1,On Time,812363
2026-02-21,10:45 AM,Group Play,FC Alliance ECNL G10,2,2,Pittsburgh Riverhounds ECNL G10,Hardin Valley Academy Stadium,Field 1,On Time,812367
2026-02-22,08:00 AM,Group Play,Tennessee SC ECNL G10,0,1,Pittsburgh Riverhounds ECNL G10,Bethesda Sports Park,Field 1,On Time,812375
2026-02-22,10:45 AM,Group Play,FC Alliance ECNL G10,0,2,WNY Flash ECNL G10,Hardin Valley Academy Stadium,Field 1,On Time,812371
2026-03-01,12:15 PM,Group Play,Racing Louisville Academy ECNL G10,0,5,Ohio Elite SA ECNL G10,Shelbyville High School,Stadium,On Time,812331
2026-03-07,10:45 AM,Group Play,Ohio Elite SA ECNL G10,0,0,Cleveland Force SC ECNL G10,Seven Hills School,Lower Field,On Time,812395
2026-03-07,10:45 AM,Group Play,FC Alliance ECNL G10,1,2,FC Pride Elite ECNL G10,Hardin Valley Academy Stadium,Field 1,On Time,812415
2026-03-07,11:00 AM,Group Play,Tennessee SC ECNL G10,1,0,Indy Eleven Pro Academy ECNL G10,Richard Siegel Soccer Complex,Field 3,On Time,812411
2026-03-07,01:00 PM,Group Play,Racing Louisville Academy ECNL G10,1,5,Internationals SC ECNL G10,Lynn Family Sports Vision & Training Facility,Field 2,On Time,812399
2026-03-08,10:00 AM,Group Play,Tennessee SC ECNL G10,0,2,FC Pride Elite ECNL G10,Richard Siegel Soccer Complex,Field 3,On Time,812435
2026-03-08,10:15 AM,Group Play,FC Alliance ECNL G10,2,1,Indy Eleven Pro Academy ECNL G10,Hardin Valley Academy Stadium,Field 1,On Time,812439
2026-03-08,10:45 AM,Group Play,Ohio Elite SA ECNL G10,2,1,Internationals SC ECNL G10,Seven Hills School,Lower Field,On Time,812419
