date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2026-07-12,08:20 AM,Group Play,Sporting CA USA ECNL G09,0,2,Eastside FC ECNL G09,60 Acres Park,Field #14,On Time,1049889
2026-07-12,08:40 AM,Group Play,Pleasanton RAGE ECNL G2008/09,1,2,Utah Avalanche ECNL G09,60 Acres Park,Field #03,On Time,1049890
2026-07-12,08:40 AM,Group Play,Oregon Surf ECNL G09,0,2,LAFC So Cal ECNL G09,60 Acres Park,Field #11,On Time,1049893
2026-07-12,08:40 AM,Group Play,Placer United ECNL G2008/09,0,1,Missouri Rush ECNL G2008/09,60 Acres Park,Field #16,On Time,1049895
2026-07-12,10:00 AM,Group Play,PacNW SC ECNL G2008/09,3,7,Michigan Hawks Magic ECNL G09,60 Acres Park,Field #05,On Time,1049896
2026-07-12,02:00 PM,Group Play,Boise Thorns FC ECNL G2008/09,1,2,Chicago Inter Soccer ECNL G09,60 Acres Park,Field #05,On Time,1049892
2026-07-12,04:40 PM,Group Play,Mustang SC ECNL G09,1,2,Utah Royals FC AZ ECNL G2008/09,60 Acres Park,Field #17,On Time,1049894
2026-07-13,08:40 AM,Group Play,Eastside FC ECNL G09,2,0,Placer United ECNL G2008/09,60 Acres Park,Field #16,On Time,1049904
2026-07-13,10:20 AM,Group Play,Missouri Rush ECNL G2008/09,3,0,Pleasanton RAGE ECNL G2008/09,60 Acres Park,Field #22,On Time,1049905
2026-07-13,10:40 AM,Group Play,Utah Avalanche ECNL G09,3,3,Chicago Inter Soccer ECNL G09,60 Acres Park,Field #17,On Time,1049907
2026-07-13,02:00 PM,Group Play,Michigan Hawks Magic ECNL G09,4,2,Sporting CA USA ECNL G09,60 Acres Park,Field #09,On Time,1049910
2026-07-13,02:20 PM,Group Play,Utah Royals FC AZ ECNL G2008/09,3,2,Oregon Surf ECNL G09,60 Acres Park,Field #22,On Time,1049912
2026-07-13,04:20 PM,Group Play,Mustang SC ECNL G09,1,1,Boise Thorns FC ECNL G2008/09,60 Acres Park,Field #10,On Time,1049915
2026-07-13,04:20 PM,Group Play,LAFC So Cal ECNL G09,4,2,PacNW SC ECNL G2008/09,60 Acres Park,Field #14,On Time,1049916
2026-07-14,08:20 AM,Group Play,Utah Avalanche ECNL G09,4,0,LAFC So Cal ECNL G09,60 Acres Park,Field #04,On Time,1049927
2026-07-14,10:00 AM,Group Play,Boise Thorns FC ECNL G2008/09,2,1,Missouri Rush ECNL G2008/09,60 Acres Park,Field #01,On Time,1049932
2026-07-14,12:00 PM,Group Play,Pleasanton RAGE ECNL G2008/09,1,1,Michigan Hawks Magic ECNL G09,60 Acres Park,Field #05,On Time,1049922
2026-07-14,12:00 PM,Group Play,Sporting CA USA ECNL G09,2,3,Placer United ECNL G2008/09,60 Acres Park,Field #09,On Time,1049923
2026-07-14,12:00 PM,Group Play,Chicago Inter Soccer ECNL G09,3,1,Utah Royals FC AZ ECNL G2008/09,60 Acres Park,Field #01,On Time,1049931
2026-07-14,12:20 PM,Group Play,PacNW SC ECNL G2008/09,2,4,Eastside FC ECNL G09,60 Acres Park,Field #04,On Time,1049924
2026-07-14,02:20 PM,Group Play,Oregon Surf ECNL G09,0,0,Mustang SC ECNL G09,60 Acres Park,Field #02,On Time,1049928
