rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Eastside FC ECNL G09,Eastside FC (WA),59855,3,3,0,0,9,3.0,8,2,6
2,Michigan Hawks Magic ECNL G09,Michigan Hawks,54823,3,2,0,1,7,2.33,12,6,6
3,Utah Avalanche ECNL G09,Utah Avalanche,58149,3,2,0,1,7,2.33,9,4,5
4,Chicago Inter Soccer ECNL G09,Chicago Inter,69850,3,2,0,1,7,2.33,8,5,3
5,Missouri Rush ECNL G2008/09,Missouri Rush,114377,3,2,1,0,6,2.0,5,2,3
6,LAFC So Cal ECNL G09,LAFC So Cal,59866,3,2,1,0,6,2.0,6,6,0
7,Utah Royals FC AZ ECNL G2008/09,Utah Royals FC - AZ,56530,3,2,1,0,6,2.0,6,6,0
8,Boise Thorns FC ECNL G2008/09,Boise Timbers | Thorns,59556,3,1,1,1,4,1.33,4,4,0
9,Placer United ECNL G2008/09,Placer United Soccer Club,68831,3,1,2,0,3,1.0,3,5,-2
10,Mustang SC ECNL G09,Mustang Soccer,31328,3,0,1,2,2,0.67,2,3,-1
11,Oregon Surf ECNL G09,Oregon Surf SC,90907,3,0,2,1,1,0.33,2,5,-3
12,Pleasanton RAGE ECNL G2008/09,Pleasanton Rage,39256,3,0,2,1,1,0.33,2,6,-4
13,Sporting CA USA ECNL G09,Sporting California USA,59459,3,0,3,0,0,0.0,4,9,-5
14,PacNW SC ECNL G2008/09,PacNW,46755,3,0,3,0,0,0.0,7,15,-8
