date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2026-07-12,08:00 AM,Bracket,Chicago Inter Soccer ECNL G11,1,2,Pittsburgh Riverhounds - ECNL G2010/11,60 Acres Park,Field #01,On Time,1047395
2026-07-12,08:00 AM,Bracket,Force (CA) ECNL G11,2,4,Penn Fusion SA - ECNL G11,60 Acres Park,Field #05,On Time,1047396
2026-07-12,08:20 AM,Bracket,NC Courage ECNL G11,1,0,LAFC So Cal ECNL G11,60 Acres Park,Field #20,On Time,1047397
2026-07-12,08:20 AM,Bracket,PDA Blue ECNL G11,4,0,Florida Krush ECNL G11,60 Acres Park,Field #22,On Time,1047398
2026-07-12,12:20 PM,Bracket,OK Energy FC ECNL G11,4,1,Indy Eleven Pro Academy ECNL G11,60 Acres Park,Field #02,On Time,1047399
2026-07-12,12:20 PM,Bracket,Minnesota Thunder ECNL G11 ,0,6,Select ECNL G11,60 Acres Park,Field #04,On Time,1047400
2026-07-12,02:20 PM,Bracket,Sting Royal ECNL G2010/11,1,0,Eagles SC ECNL G2011/12,60 Acres Park,Field #02,On Time,1047401
2026-07-12,02:20 PM,Bracket,Eastside FC ECNL G11,4,1,Concorde Fire Premier ECNL G11,60 Acres Park,Field #04,On Time,1047402
2026-07-13,08:20 AM,Bracket,Pittsburgh Riverhounds - ECNL G2010/11,1,1,Penn Fusion SA - ECNL G11,60 Acres Park,Field #14,On Time,1047403
2026-07-13,08:20 AM,Bracket,Chicago Inter Soccer ECNL G11,1,2,Force (CA) ECNL G11,60 Acres Park,Field #10,On Time,1047410
2026-07-13,08:20 AM,Bracket,Indy Eleven Pro Academy ECNL G11,0,0,Minnesota Thunder ECNL G11 ,60 Acres Park,Field #20,On Time,1047412
2026-07-13,08:40 AM,Bracket,NC Courage ECNL G11,2,2,PDA Blue ECNL G11,60 Acres Park,Field #11,On Time,1047404
2026-07-13,08:40 AM,Bracket,LAFC So Cal ECNL G11,1,2,Florida Krush ECNL G11,60 Acres Park,Field #12,On Time,1047411
2026-07-13,10:20 AM,Bracket,OK Energy FC ECNL G11,0,2,Select ECNL G11,60 Acres Park,Field #20,On Time,1047405
2026-07-13,02:40 PM,Bracket,Sting Royal ECNL G2010/11,2,1,Eastside FC ECNL G11,60 Acres Park,Field #11,On Time,1047406
2026-07-13,02:40 PM,Bracket,Eagles SC ECNL G2011/12,4,2,Concorde Fire Premier ECNL G11,60 Acres Park,Field #07,On Time,1047413
2026-07-15,12:00 PM,Bracket,Indy Eleven Pro Academy ECNL G11,2,3,Eagles SC ECNL G2011/12,60 Acres Park,Field #05,On Time,1047415
2026-07-15,12:30 PM,Bracket,Select ECNL G11,2,1,Sting Royal ECNL G2010/11,60 Acres Park,Field #18,On Time,1047408
2026-07-15,12:30 PM,Bracket,Force (CA) ECNL G11,2,4,Florida Krush ECNL G11,60 Acres Park,Field #04,On Time,1047414
2026-07-15,02:00 PM,Bracket,Penn Fusion SA - ECNL G11,3,1,PDA Blue ECNL G11,60 Acres Park,Field #07,On Time,1047407
2026-07-15,02:00 PM,Bracket,OK Energy FC ECNL G11,1,0,Eastside FC ECNL G11,60 Acres Park,Field #15,On Time,1047417
2026-07-15,02:00 PM,Bracket,Minnesota Thunder ECNL G11 ,1,0,Concorde Fire Premier ECNL G11,60 Acres Park,Field #17,On Time,1047419
2026-07-15,02:30 PM,Bracket,Pittsburgh Riverhounds - ECNL G2010/11,0,1,NC Courage ECNL G11,60 Acres Park,Field #14,On Time,1047416
2026-07-15,02:30 PM,Bracket,Chicago Inter Soccer ECNL G11,1,1,LAFC So Cal ECNL G11,60 Acres Park,Field #16,On Time,1047418
2026-07-16,10:40 AM,Bracket,Penn Fusion SA - ECNL G11,1,2,Select ECNL G11,60 Acres Park,Field #11,On Time,1047409
