date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2025-09-06,08:00 AM,Group Play,LV Heat Surf ECNL G08/07,2,2,Utah Royals FC-AZ ECNL G07/08,Heritage Park Sports Complex,Field 5,On Time,942320
2025-09-06,08:30 AM,Group Play,Legends FC San Diego ECNL G08/07,5,1,Pateadores ECNL G08/07,Miramesa High School ,Field 1 - Stadium,On Time,941930
2025-09-06,09:00 AM,Group Play,Sporting CA USA ECNL G08/07,1,1,LA Breakers FC ECNL G08/07,Silverlakes Soccer Complex,Field 23,On Time,941714
2025-09-06,11:00 AM,Group Play,Legends FC ECNL G07/08,2,0,Rebels SC ECNL G08/07,Silverlakes Complex,Field 8,On Time,942014
2025-09-06,11:00 AM,Group Play,So Cal Blues ECNL G08/07,1,1,SLAMMERS FC ECNL G08/07,OC Great Park,Field 17,On Time,942128
2025-09-06,12:00 PM,Group Play,Phoenix Rising ECNL G08/07,0,2,Beach FC (CA) ECNL G08/07,PRFC Youth Soccer Facility,Field 2,On Time,941600
2025-09-06,12:45 PM,Group Play,Eagles SC ECNL G08/07,0,4,Slammers FC HB Koge ECNL G08/07,Pleasant Valley Fields,Field 19,On Time,942152
2025-09-06,02:00 PM,Group Play,LAFC So Cal ECNL G08/07,1,3,San Diego Surf ECNL G08/07,Oak Park High School,Stadium,On Time,942068
2025-09-13,09:00 AM,Group Play,Pateadores ECNL G08/07,0,4,Slammers FC HB Koge ECNL G08/07,Great Park,Field 9,On Time,942170
2025-09-13,11:00 AM,Group Play,Legends FC ECNL G07/08,2,2,Beach FC (CA) ECNL G08/07,Silverlakes Complex,Field 8,On Time,941588
2025-09-13,11:00 AM,Group Play,So Cal Blues ECNL G08/07,2,0,Phoenix Rising ECNL G08/07,OC Great Park,Field 18,On Time,941990
2025-09-13,11:00 AM,Group Play,Eagles SC ECNL G08/07,2,1,Utah Royals FC-AZ ECNL G07/08,Pleasant Valley Fields,Field 14,On Time,942302
2025-09-13,11:30 AM,Group Play,Rebels SC ECNL G08/07,1,0,LV Heat Surf ECNL G08/07,Southwestern College,Stadium,On Time,941882
2025-09-13,01:00 PM,Group Play,San Diego Surf ECNL G08/07,4,0,Arizona Arsenal ECNL G08/07,Surf Sports Park,Field 4,On Time,941546
2025-09-13,01:45 PM,Group Play,LAFC So Cal ECNL G08/07,1,1,LA Breakers FC ECNL G08/07,Oak Park High School,Stadium,On Time,941678
2025-09-14,09:00 AM,Group Play,Beach FC (CA) ECNL G08/07,1,1,Utah Royals FC-AZ ECNL G07/08,El Camino College,Stadium,On Time,942296
2025-09-14,11:00 AM,Group Play,So Cal Blues ECNL G08/07,7,0,Arizona Arsenal ECNL G08/07,OC Great Park,Field 18,On Time,941564
2025-09-14,01:00 PM,Group Play,San Diego Surf ECNL G08/07,1,1,LV Heat Surf ECNL G08/07,San Diego High Educational Complex,Stadium,On Time,941888
2025-09-14,01:00 PM,Group Play,Pateadores ECNL G08/07,3,2,Phoenix Rising ECNL G08/07,Great Park,Field 9,On Time,941972
2025-09-20,08:00 AM,Group Play,Legends FC San Diego ECNL G08/07,1,0,Rebels SC ECNL G08/07,Miramesa High School ,Field 1 - Stadium,On Time,942020
2025-09-20,09:00 AM,Group Play,San Diego Surf ECNL G08/07,7,2,SLAMMERS FC ECNL G08/07,Surf Sports Park,Field 3,On Time,942116
2025-09-20,11:00 AM,Group Play,LA Breakers FC ECNL G08/07,2,1,Eagles SC ECNL G08/07,Bell Gardens Sports Center ,Field 3,On Time,941630
