rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Slammers FC HB Koge ECNL G08/07,Slammers FC HB Koge,29720,16,13,1,2,41,2.56,60,10,50
2,Beach FC (CA) ECNL G08/07,Beach Futbol Club,60045,16,12,1,3,39,2.44,39,11,28
3,Legends FC ECNL G07/08,Legends FC (CA),8362,16,10,2,4,34,2.13,41,12,29
4,San Diego Surf ECNL G08/07,San Diego Surf Soccer Club,45875,16,10,5,1,31,1.94,38,24,14
5,Rebels SC ECNL G08/07,Rebels Soccer Club,19029,16,9,7,0,27,1.69,41,24,17
6,Utah Royals FC-AZ ECNL G07/08,Utah Royals FC - AZ,56527,16,8,5,3,27,1.69,32,24,8
7,LA Breakers FC ECNL G08/07,No Club Selection,29129,16,8,5,3,27,1.69,34,34,0
8,Phoenix Rising ECNL G08/07,Phoenix Rising FC,45886,16,8,6,2,26,1.63,34,27,7
9,SLAMMERS FC ECNL G08/07,Slammers FC,9288,16,7,6,3,24,1.5,24,24,0
10,Eagles SC ECNL G08/07,Eagles SC,6122,16,7,8,1,22,1.38,28,28,0
11,So Cal Blues ECNL G08/07,So Cal Blues,29588,16,5,7,4,19,1.19,24,23,1
12,Legends FC San Diego ECNL G08/07,Legends FC - Del Mar,46835,16,5,7,4,19,1.19,20,25,-5
13,LAFC So Cal ECNL G08/07,LAFC So Cal,45887,16,3,8,5,14,0.88,21,37,-16
14,Arizona Arsenal ECNL G08/07,Arizona Arsenal Soccer Club,45882,16,4,10,2,14,0.88,16,36,-20
15,LV Heat Surf ECNL G08/07,LV Heat Surf SC ,46745,16,1,8,7,10,0.63,14,27,-13
16,Pateadores ECNL G08/07,Pateadores Soccer Club,108296,16,3,13,0,9,0.56,14,57,-43
17,Sporting CA USA ECNL G08/07,Sporting California USA,28062,16,0,14,2,2,0.13,13,70,-57
