date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2025-09-06,08:00 AM,Group Play,Phoenix Rising ECNL G09,0,2,Beach FC (CA) ECNL G09,PRFC Youth Soccer Facility,Field 2,On Time,941601
2025-09-06,09:00 AM,Group Play,So Cal Blues ECNL G09,0,0,SLAMMERS FC ECNL G09,OC Great Park,Field 17,On Time,942129
2025-09-06,10:30 AM,Group Play,Legends FC San Diego ECNL G09 ,3,0,Pateadores ECNL G09,Miramesa High School ,Field 1 - Stadium,On Time,941931
2025-09-06,10:45 AM,Group Play,Eagles SC ECNL G09,0,0,Slammers FC HB Koge ECNL G09,Pleasant Valley Fields,Field 19,On Time,942153
2025-09-06,11:00 AM,Group Play,Sporting CA USA ECNL G09,0,0,LA Breakers FC ECNL G09,Silverlakes Soccer Complex,Field 24,On Time,941715
2025-09-06,11:00 AM,Group Play,Legends FC ECNL G09,4,1,Rebels SC ECNL G09,Silverlakes Complex,Field 7,On Time,942015
2025-09-06,12:00 PM,Group Play,LAFC So Cal ECNL G09,1,1,San Diego Surf ECNL G09,Oak Park High School,Stadium,On Time,942069
2025-09-06,12:00 PM,Group Play,LV Heat Surf ECNL G09,4,2,Utah Royals FC-AZ ECNL G09,Heritage Park Sports Complex,Field 6,On Time,942321
2025-09-13,09:00 AM,Group Play,So Cal Blues ECNL G09,2,1,Phoenix Rising ECNL G09,OC Great Park,Field 18,On Time,941991
2025-09-13,09:00 AM,Group Play,Pateadores ECNL G09,0,0,Slammers FC HB Koge ECNL G09,Great Park,Field 8,On Time,942171
2025-09-13,09:00 AM,Group Play,Eagles SC ECNL G09,2,5,Utah Royals FC-AZ ECNL G09,Pleasant Valley Fields,Field 14,On Time,942303
2025-09-13,11:00 AM,Group Play,San Diego Surf ECNL G09,3,0,Arizona Arsenal ECNL G09,Surf Sports Park,Field 4,On Time,941547
2025-09-13,11:00 AM,Group Play,Legends FC ECNL G09,0,0,Beach FC (CA) ECNL G09,Silverlakes Complex,Field 7,On Time,941589
2025-09-13,11:30 AM,Group Play,Rebels SC ECNL G09,2,6,LV Heat Surf ECNL G09,Southwestern College,Upper Grass,On Time,941883
2025-09-13,03:45 PM,Group Play,LAFC So Cal ECNL G09,1,1,LA Breakers FC ECNL G09,Oak Park High School,Stadium,On Time,941679
2025-09-14,09:00 AM,Group Play,So Cal Blues ECNL G09,0,1,Arizona Arsenal ECNL G09,OC Great Park,Field 18,On Time,941565
2025-09-14,09:00 AM,Group Play,Pateadores ECNL G09,2,1,Phoenix Rising ECNL G09,Great Park,Field 8,On Time,941973
2025-09-14,11:00 AM,Group Play,San Diego Surf ECNL G09,3,1,LV Heat Surf ECNL G09,San Diego High Educational Complex,Stadium,On Time,941889
2025-09-14,11:00 AM,Group Play,Beach FC (CA) ECNL G09,1,1,Utah Royals FC-AZ ECNL G09,El Camino College,Athletic Field,On Time,942297
2025-09-20,09:00 AM,Group Play,LA Breakers FC ECNL G09,0,2,Eagles SC ECNL G09,Bell Gardens Sports Center ,Field 4,On Time,941631
2025-09-20,10:00 AM,Group Play,Legends FC San Diego ECNL G09 ,2,0,Rebels SC ECNL G09,Miramesa High School ,Field 1 - Stadium,On Time,942021
2025-09-20,11:00 AM,Group Play,San Diego Surf ECNL G09,3,2,SLAMMERS FC ECNL G09,Surf Sports Park,Field 4,On Time,942117
2025-09-20,03:15 PM,Group Play,Slammers FC HB Koge ECNL G09,3,1,Legends FC ECNL G09,Saddleback College,Turf Field,On Time,941793
2025-09-21,12:00 PM,Group Play,LAFC So Cal ECNL G09,1,1,Sporting CA USA ECNL G09,Oak Park High School,Stadium,On Time,942249
2025-09-27,09:00 AM,Group Play,Beach FC (CA) ECNL G09,2,2,Pateadores ECNL G09,El Camino College,Athletic Field,On Time,941913
2025-09-27,09:45 AM,Group Play,LV Heat Surf ECNL G09,0,1,Arizona Arsenal ECNL G09,Heritage Park Sports Complex,Field 5,On Time,941535
2025-09-27,10:00 AM,Group Play,Legends FC San Diego ECNL G09 ,4,2,Sporting CA USA ECNL G09,Torrey Pines High School,Field 1,On Time,942261
2025-09-27,11:00 AM,Group Play,Eagles SC ECNL G09,1,0,LAFC So Cal ECNL G09,Pleasant Valley Fields,Field 14,On Time,941721
2025-09-27,11:00 AM,Group Play,So Cal Blues ECNL G09,0,3,Legends FC ECNL G09,OC Great Park,Field 17,On Time,941799
2025-09-27,11:00 AM,Group Play,San Diego Surf ECNL G09,6,0,Rebels SC ECNL G09,Surf Sports Park,Field 2,On Time,942027
2025-09-27,11:00 AM,Group Play,LA Breakers FC ECNL G09,0,0,SLAMMERS FC ECNL G09,Silverlakes,Field 2,On Time,942099
2025-09-27,11:00 AM,Group Play,Utah Royals FC-AZ ECNL G09,0,1,Slammers FC HB Koge ECNL G09,Wild Horse Pass - Gila River,Field 2,On Time,942189
2025-10-04,08:00 AM,Group Play,LV Heat Surf ECNL G09,2,0,Slammers FC HB Koge ECNL G09,Heritage Park Sports Complex,Field 5,On Time,942165
2025-10-04,09:00 AM,Group Play,Sporting CA USA ECNL G09,1,4,Beach FC (CA) ECNL G09,Silverlakes Soccer Complex,Field 23,On Time,941619
2025-10-04,09:00 AM,Group Play,Arizona Arsenal ECNL G09,0,2,Legends FC ECNL G09,Copper Sky Recreation Complex ,field 7,On Time,941763
2025-10-04,10:00 AM,Group Play,Phoenix Rising ECNL G09,1,4,San Diego Surf ECNL G09,PRFC Youth Soccer Facility,Field 2,On Time,942087
2025-10-04,11:00 AM,Group Play,So Cal Blues ECNL G09,0,1,Eagles SC ECNL G09,OC Great Park,Field 17,On Time,941661
2025-10-04,11:00 AM,Group Play,Pateadores ECNL G09,4,0,LA Breakers FC ECNL G09,Great Park,Field 8,On Time,941691
2025-10-04,11:00 AM,Group Play,Utah Royals FC-AZ ECNL G09,0,1,LAFC So Cal ECNL G09,Scottsdale Sports Complex,Field 7,On Time,941757
2025-10-04,05:15 PM,Group Play,SLAMMERS FC ECNL G09,4,1,Rebels SC ECNL G09,Arroyo Park,Field 1,On Time,942033
