date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2025-08-24,09:00 AM,Group Play,Colorado Rush Academy Blue ECNL G08/07,2,2,Real Colorado National ECNL G08/07,Colorado Academy,Simms 2,On Time,859302
2025-08-24,11:15 AM,Group Play,Real Colorado Athletico ECNL G08/07,0,3,Colorado Rapids ECNL G08/07,Real Colorado Soccer Complex,RCSC Grass,On Time,859296
2025-08-30,09:00 AM,Group Play,Colorado Rush Academy Blue ECNL G08/07,3,0,Challenge SC ECNL G08/07,Colorado Academy,Simms 2,On Time,859308
2025-08-30,09:00 AM,Group Play,Real Colorado Athletico ECNL G08/07,1,1,Albion Hurricanes FC ECNL G08/07,Real Colorado Soccer Complex,RCSC Grass,On Time,859314
2025-08-31,10:30 AM,Group Play,Real Colorado Athletico ECNL G08/07,2,2,Challenge SC ECNL G08/07,Real Colorado Soccer Complex,RCSC Grass,On Time,859332
2025-08-31,01:30 PM,Group Play,Colorado Rush Academy Blue ECNL G08/07,1,0,Albion Hurricanes FC ECNL G08/07,Colorado Academy,Simms 2,On Time,859326
2025-09-06,01:00 PM,Group Play,Classics Elite ECNL G08/07,3,1,West Side Alliance ECNL G08/07,CE Soccer Complex,Field 5,On Time,859338
2025-09-06,03:00 PM,Group Play,Sting Austin ECNL G08/07,1,1,OK Energy FC ECNL G08/07,Round Rock Multipurpose Complex,Field 8,On Time,859344
2025-09-07,01:00 PM,Group Play,Sting Austin ECNL G08/07,5,0,West Side Alliance ECNL G08/07,Round Rock Multipurpose Complex,Field 9,On Time,859356
2025-09-13,10:00 AM,Group Play,Sting Royal ECNL G08/07,4,0,Sting Black ECNL G08/07,Rolling Hills Soccer Complex,field 16,On Time,859320
2025-09-13,11:00 AM,Group Play,DKSC ECNL G08/07,2,0,Dallas Texans ECNL G08/07,Cox Soccer Complex,Field 1,On Time,859362
2025-09-14,11:15 AM,Group Play,Real Colorado Athletico ECNL G08/07,0,1,Real Colorado National ECNL G08/07,Real Colorado Soccer Complex,RCSC Grass,On Time,859374
2025-09-20,09:00 AM,Group Play,Challenge SC ECNL G08/07,5,1,Colorado Rapids ECNL G08/07,Burroughs Park,Field 4,On Time,859380
2025-09-20,09:00 AM,Group Play,Real Colorado Athletico ECNL G08/07,1,0,Classics Elite ECNL G08/07,Real Colorado Soccer Complex,RCSC Grass,On Time,859398
2025-09-20,11:00 AM,Group Play,Albion Hurricanes FC ECNL G08/07,0,2,Real Colorado National ECNL G08/07,Campbell Road Sports Park,Field 2,On Time,859386
2025-09-20,11:00 AM,Group Play,OK Energy FC ECNL G08/07,2,0,FC Dallas ECNL G08/07,Edmond Soccer Club,ESC 4,On Time,859416
2025-09-20,01:00 PM,Group Play,DKSC ECNL G08/07,4,4,SOLAR SC ECNL G08/07,Beacon Park,Field 2,On Time,859410
2025-09-20,01:30 PM,Group Play,Colorado Rush Academy Blue ECNL G08/07,1,4,Sting Austin ECNL G08/07,Stargate ,Horan West,On Time,859392
2025-09-20,03:00 PM,Group Play,Sting Black ECNL G08/07,0,0,Dallas Texans ECNL G08/07,Memorial High School,Stadium Field,On Time,859404
2025-09-21,09:00 AM,Group Play,Challenge SC ECNL G08/07,2,4,Real Colorado National ECNL G08/07,Burroughs Park,Field 4,On Time,859434
2025-09-21,10:15 AM,Group Play,Albion Hurricanes FC ECNL G08/07,0,2,Colorado Rapids ECNL G08/07,Campbell Road Sports Park,Field 5,On Time,859428
2025-09-21,11:15 AM,Group Play,Real Colorado Athletico ECNL G08/07,1,1,Sting Austin ECNL G08/07,Real Colorado Soccer Complex,RCSC Grass,On Time,859446
2025-09-21,01:00 PM,Group Play,Colorado Rush Academy Blue ECNL G08/07,6,2,Classics Elite ECNL G08/07,Aurora Sports Park,North Turf 2,On Time,859440
2025-09-27,09:00 AM,Group Play,West Side Alliance ECNL G08/07,1,5,FC Dallas ECNL G08/07,RiverCity Parks,Field 10,On Time,859452
2025-09-27,01:30 PM,Group Play,Colorado Rapids ECNL G08/07,1,1,SOLAR SC ECNL G08/07,Regis University,West Turf,On Time,859458
2025-09-27,01:30 PM,Group Play,Real Colorado National ECNL G08/07,4,1,Dallas Texans ECNL G08/07,Real Colorado Soccer Complex,RCSC Grass,On Time,859464
2025-09-27,03:00 PM,Group Play,OK Energy FC ECNL G08/07,1,2,Sting Royal ECNL G08/07,North Oklahoma City FC,NOKC Red 4,On Time,859368
2025-09-28,09:00 AM,Group Play,West Side Alliance ECNL G08/07,0,3,Sting Royal ECNL G08/07,RiverCity Parks,Field 2,On Time,859422
2025-09-28,11:15 AM,Group Play,Real Colorado National ECNL G08/07,7,0,SOLAR SC ECNL G08/07,Real Colorado Soccer Complex,RCSC Grass,On Time,859476
2025-09-28,01:30 PM,Group Play,Colorado Rapids ECNL G08/07,0,1,Dallas Texans ECNL G08/07,Regis University,West Turf,On Time,859470
2025-10-04,09:00 AM,Group Play,Colorado Rapids ECNL G08/07,3,3,Sting Royal ECNL G08/07,Regis University,West Turf,On Time,859482
2025-10-04,09:00 AM,Group Play,Real Colorado National ECNL G08/07,1,0,FC Dallas ECNL G08/07,Real Colorado Soccer Complex,RCSC Grass,On Time,859488
2025-10-04,11:00 AM,Group Play,Albion Hurricanes FC ECNL G08/07,2,2,Sting Black ECNL G08/07,Campbell Road Sports Park,Field 2,On Time,859494
2025-10-04,01:00 PM,Group Play,Challenge SC ECNL G08/07,1,1,DKSC ECNL G08/07,Burroughs Park,Field 4,On Time,859500
2025-10-05,09:00 AM,Group Play,SOLAR SC ECNL G08/07,4,0,Dallas Texans ECNL G08/07,OAK GROVE ,Field 2,On Time,859518
2025-10-05,09:00 AM,Group Play,Challenge SC ECNL G08/07,3,2,Sting Black ECNL G08/07,Burroughs Park,Field 4,On Time,859530
