rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Arlington Soccer Association ECNL G2011/12,Arlington Soccer Association,134238,0,0,0,0,0,0.0,0,0,0
2,Beach FC (VA) ECNL G2011/12,Beach FC,135518,0,0,0,0,0,0.0,0,0,0
3,Charlotte SA ECNL G2011/12,Charlotte Soccer Academy,131433,0,0,0,0,0,0.0,0,0,0
4,Fairfax Virginia Union ECNL G2011/12,Fairfax Virginia Union,135362,0,0,0,0,0,0.0,0,0,0
5,NC Fusion ECNL G2011/12,NC Fusion,82112,0,0,0,0,0,0.0,0,0,0
6,NCFC Youth ECNL G2011/12,NCFC Youth,94046,0,0,0,0,0,0.0,0,0,0
7,NCFC Youth NC Courage ECNL G2011/12,NCFC Youth,130287,0,0,0,0,0,0.0,0,0,0
8,Richmond United ECNL G2011/12,Richmond United,133822,0,0,0,0,0,0.0,0,0,0
9,South Carolina Surf ECNL G2011/12,South Carolina Surf SC,129048,0,0,0,0,0,0.0,0,0,0
10,VDA ECNL G2011/12,Virginia Development Academy,94863,0,0,0,0,0,0.0,0,0,0
11,Wilmington Hammerheads ECNL G2011/12,Wilmington Hammerheads,134659,0,0,0,0,0,0.0,0,0,0
