date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2026-09-12,11:00 AM,Group Play,Arlington Soccer Association ECNL G2008/09,,,Beach FC (VA) ECNL G2008/09,Long Bridge Park,Boeing #3,On Time,1121219
2026-09-19,11:00 AM,Group Play,Beach FC (VA) ECNL G2008/09,,,NCFC Youth NC Courage ECNL G2008/09,Hampton Roads Soccer Complex,Field 15,On Time,1121223
2026-09-19,12:00 PM,Group Play,NCFC Youth ECNL G2008/09,,,NC Fusion ECNL G2008/09,WRAL ,Field 5,On Time,1121227
2026-09-20,11:00 AM,Group Play,Beach FC (VA) ECNL G2008/09,,,NCFC Youth ECNL G2008/09,Hampton Roads Soccer Complex,Field 14,On Time,1121235
2026-09-20,01:00 PM,Group Play,VDA ECNL G2008/09,,,Arlington Soccer Association ECNL G2008/09,Howison Park,Field 2,On Time,1121231
2026-09-26,09:00 AM,Group Play,Arlington Soccer Association ECNL G2008/09,,,South Carolina Surf ECNL G2008/09,Long Bridge Park,Boeing #4,On Time,1121239
2026-09-26,01:00 PM,Group Play,VDA ECNL G2008/09,,,NC Fusion ECNL G2008/09,Howison Park,Field 3,On Time,1121243
2026-09-26,02:00 PM,Group Play,Richmond United ECNL G2008/09,,,NCFC Youth ECNL G2008/09,Striker Park,Field 3,On Time,1121247
2026-09-27,12:00 PM,Group Play,Fairfax Virginia Union ECNL G2008/09,,,NCFC Youth ECNL G2008/09,WT Woodson High School,Stadium Field,On Time,1121251
2026-09-27,01:00 PM,Group Play,Richmond United ECNL G2008/09,,,NC Fusion ECNL G2008/09,Striker Park,Field 3,On Time,1121255
2026-09-27,01:00 PM,Group Play,VDA ECNL G2008/09,,,South Carolina Surf ECNL G2008/09,Ali Krieger Sports Complex (AKSC),Field 7,On Time,1121259
2026-10-03,12:00 PM,Group Play,Beach FC (VA) ECNL G2008/09,,,Richmond United ECNL G2008/09,Hampton Roads Soccer Complex,Field 15,On Time,1121267
2026-10-03,01:00 PM,Group Play,Arlington Soccer Association ECNL G2008/09,,,Wilmington Hammerheads ECNL G2008/09,Long Bridge Park,Boeing #4,On Time,1121263
2026-10-03,01:00 PM,Group Play,Fairfax Virginia Union ECNL G2008/09,,,NCFC Youth NC Courage ECNL G2008/09,James W Robinson HS,Upper Turf,On Time,1121275
2026-10-03,01:30 PM,Group Play,VDA ECNL G2008/09,,,Charlotte SA ECNL G2008/09,Long Park,Field 7,On Time,1121271
2026-10-04,10:30 AM,Group Play,Fairfax Virginia Union ECNL G2008/09,,,Wilmington Hammerheads ECNL G2008/09,James W Robinson HS,Upper Turf,On Time,1121291
2026-10-04,11:00 AM,Group Play,Arlington Soccer Association ECNL G2008/09,,,NCFC Youth NC Courage ECNL G2008/09,Long Bridge Park,Boeing #4,On Time,1121279
2026-10-04,11:00 AM,Group Play,Richmond United ECNL G2008/09,,,Charlotte SA ECNL G2008/09,Striker Park,Field 3,On Time,1121287
2026-10-04,03:30 PM,Group Play,Beach FC (VA) ECNL G2008/09,,,VDA ECNL G2008/09,Hampton Roads Soccer Complex,Field 16,On Time,1121283
2026-10-17,03:00 PM,Group Play,South Carolina Surf ECNL G2008/09,,,Charlotte SA ECNL G2008/09,Shea Family Fields,Field 3,On Time,1121295
2026-10-18,11:00 AM,Group Play,Wilmington Hammerheads ECNL G2008/09,,,South Carolina Surf ECNL G2008/09,NCINO Sports Park,Field 7,On Time,1121307
2026-10-18,01:00 PM,Group Play,NCFC Youth NC Courage ECNL G2008/09,,,NCFC Youth ECNL G2008/09,WRAL ,Field 6,On Time,1121303
2026-10-18,02:30 PM,Group Play,Arlington Soccer Association ECNL G2008/09,,,Richmond United ECNL G2008/09,Long Bridge Park,Boeing #4,On Time,1121299
2026-10-24,TBD,Group Play,NC Fusion ECNL G2008/09,,,Beach FC (VA) ECNL G2008/09,,,On Time,1121315
