date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2026-08-29,09:00 AM,Group Play,Chicago Inter ECNL G2013/14,4,2,Missouri Rush ECNL G2013/14,Chicago Inter Complex,Field 1,On Time,1083675
2026-08-29,01:00 PM,Group Play,Sporting Iowa ECNL G2013/14,0,2,Rockford Raptors FC ECNL G2013/14,Hy-Vee Multiplex,White #1,On Time,1083679
2026-08-29,01:00 PM,Group Play,Liverpool FC MI ECNL G2013/14,1,1,St. Louis Scott Gallagher Green ECNL G2013/14,Avondale High School,Stadium,On Time,1083683
2026-08-29,03:30 PM,Group Play,Michigan Hawks ECNL G2013/14,7,1,Michigan Hawks Magic ECNL G2013/14,St. Joe's Sports Dome,St. Joe's Dome,On Time,1083685
2026-08-29,06:30 PM,Group Play,Nationals SC ECNL G2013/14,1,0,St. Louis Scott Gallagher Navy ECNL G2013/14,Royal Oak High School,Field 1,On Time,1083681
2026-08-30,09:00 AM,Group Play,Sporting Iowa ECNL G2013/14,1,3,FC Wisconsin ECNL G2013/14,Hy-Vee Multiplex,White #1,On Time,1083687
2026-08-30,10:15 AM,Group Play,Nationals SC ECNL G2013/14,0,1,St. Louis Scott Gallagher Green ECNL G2013/14,Total Soccer Wixom, Old Trafford,On Time,1083691
2026-08-30,01:00 PM,Group Play,Liverpool FC MI ECNL G2013/14,0,10,St. Louis Scott Gallagher Navy ECNL G2013/14,Oakland University Upper Fields,South,On Time,1083693
2026-09-05,01:00 PM,Group Play,Liverpool FC MI ECNL G2013/14,,,Michigan Hawks Magic ECNL G2013/14,UWM Sports Complex,Field 3,On Time,1083699
2026-09-05,05:30 PM,Group Play,Michigan Hawks ECNL G2013/14,,,Missouri Rush ECNL G2013/14,Schoolcraft Turf,SC Turf,On Time,1083701
2026-09-06,02:00 PM,Group Play,Michigan Hawks Magic ECNL G2013/14,,,Missouri Rush ECNL G2013/14,Jaycee Park,Jaycee Turf,On Time,1083711
2026-09-26,10:45 AM,Group Play,Chicago Inter ECNL G2013/14,,,Eclipse Select Soccer Club ECNL G2013/14,Chicago Inter Complex,Field 2,On Time,1083715
2026-09-26,11:00 AM,Group Play,Rockford Raptors FC ECNL G2013/14,,,St. Louis Scott Gallagher Green ECNL G2013/14,Mercyhealth Sportscore Two,Field TBA (11v11),On Time,1083719
2026-09-26,11:45 AM,Group Play,FC Wisconsin ECNL G2013/14,,,St. Louis Scott Gallagher Navy ECNL G2013/14,FC Wisconsin Soccer Park,Field 2 - Hegarty Field,On Time,1083717
2026-09-26,01:00 PM,Group Play,Nationals SC ECNL G2013/14,,,Liverpool FC MI ECNL G2013/14,Oakland University Upper Fields,South Field,On Time,1083721
