date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2026-08-29,08:00 AM,Group Play,Gretna Elite Academy ECNL G2013/14,2,1,FC Wisconsin ECNL G2013/14,Pinnacle Bank Soccer Complex ( Gretna Soccer Compl,Field 2,On Time,1083677
2026-08-30,08:00 AM,Group Play,Gretna Elite Academy ECNL G2013/14,3,2,Rockford Raptors FC ECNL G2013/14,Pinnacle Bank Soccer Complex ( Gretna Soccer Compl,Field 2,On Time,1083689
2026-09-05,08:00 AM,Group Play,St. Louis Scott Gallagher Green ECNL G2013/14,,,St. Louis Scott Gallagher Navy ECNL G2013/14,WWT Soccer Park,Field 1,On Time,1083705
2026-09-05,09:00 AM,Group Play,Kansas City Athletics ECNL G2013/14,,,Eclipse Select Soccer Club ECNL G2013/14,KC Current Training Facility,Field 9,On Time,1083695
2026-09-05,11:00 AM,Group Play,Gretna Elite Academy ECNL G2013/14,,,Sporting Iowa ECNL G2013/14,Pinnacle Bank Soccer Complex ( Gretna Soccer Compl,Field 2,On Time,1083703
2026-09-05,01:00 PM,Group Play,Sporting Blue Valley ECNL G2013/14,,,Chicago Inter ECNL G2013/14,Pinnacle National Development Center,West,On Time,1083697
2026-09-06,11:00 AM,Group Play,Kansas City Athletics ECNL G2013/14,,,Chicago Inter ECNL G2013/14,KC Current Training Facility,Field 3,On Time,1083707
2026-09-06,01:00 PM,Group Play,Sporting Blue Valley ECNL G2013/14,,,Eclipse Select Soccer Club ECNL G2013/14,Pinnacle National Development Center,West,On Time,1083709
2026-09-19,08:00 AM,Group Play,MN Thunder Academy ECNL G2013/14,,,Missouri Rush ECNL G2013/14,Winter Park,Fieldhouse,On Time,1083713
2026-09-26,08:00 AM,Group Play,MN Thunder Academy ECNL G2013/14,,,Gretna Elite Academy ECNL G2013/14,Winter Park,Fieldhouse,On Time,1083727
2026-10-03,TBD,Group Play,Sporting Iowa ECNL G2013/14,,,Missouri Rush ECNL G2013/14,,,On Time,1083747
2026-10-03,08:00 AM,Group Play,MN Thunder Academy ECNL G2013/14,,,Rockford Raptors FC ECNL G2013/14,Winter Park,Fieldhouse,On Time,1083743
2026-10-03,11:00 AM,Group Play,Kansas City Athletics ECNL G2013/14,,,Gretna Elite Academy ECNL G2013/14,KC Current Training Facility,Field 9,On Time,1083745
2026-10-03,01:45 PM,Group Play,St. Louis Scott Gallagher Green ECNL G2013/14,,,Sporting Blue Valley ECNL G2013/14,WWT Soccer Park,Field 2,On Time,1083749
2026-10-04,11:00 AM,Group Play,Gretna Elite Academy ECNL G2013/14,,,Missouri Rush ECNL G2013/14,KC Current Training Facility,Field 1,On Time,1083755
2026-10-04,11:00 AM,Group Play,Kansas City Athletics ECNL G2013/14,,,Sporting Iowa ECNL G2013/14,KC Current Training Facility,Field 9,On Time,1083757
2026-10-10,10:00 AM,Group Play,Kansas City Athletics ECNL G2013/14,,,St. Louis Scott Gallagher Navy ECNL G2013/14,Paragon Star Soccer Complex,Field 9,On Time,1083765
2026-10-10,11:00 AM,Group Play,Sporting Blue Valley ECNL G2013/14,,,MN Thunder Academy ECNL G2013/14,Scheels Overland Park Soccer Complex,Field 10,On Time,1083767
2026-10-11,10:30 AM,Group Play,Kansas City Athletics ECNL G2013/14,,,MN Thunder Academy ECNL G2013/14,Paragon Star Soccer Complex,Field 9,On Time,1083769
2026-10-17,09:00 AM,Group Play,Missouri Rush ECNL G2013/14,,,FC Wisconsin ECNL G2013/14,Missouri Rush Sports Park,Field 3,On Time,1083773
2026-10-17,01:00 PM,Group Play,Sporting Blue Valley ECNL G2013/14,,,Liverpool FC MI ECNL G2013/14,Scheels Overland Park Soccer Complex,Field 10,On Time,1083779
2026-10-17,01:30 PM,Group Play,Kansas City Athletics ECNL G2013/14,,,Nationals SC ECNL G2013/14,KC Current Training Facility,Field 9,On Time,1083777
2026-10-17,05:30 PM,Group Play,Gretna Elite Academy ECNL G2013/14,,,St. Louis Scott Gallagher Navy ECNL G2013/14,Pinnacle Bank Soccer Complex ( Gretna Soccer Compl,Field 1,On Time,1083781
2026-10-17,05:30 PM,Group Play,Sporting Iowa ECNL G2013/14,,,St. Louis Scott Gallagher Green ECNL G2013/14,Pinnacle Bank Soccer Complex ( Gretna Soccer Compl,Field 2,On Time,1083783
2026-10-18,10:00 AM,Group Play,Gretna Elite Academy ECNL G2013/14,,,St. Louis Scott Gallagher Green ECNL G2013/14,Pinnacle Bank Soccer Complex ( Gretna Soccer Compl,Field 2,On Time,1083793
2026-10-18,11:00 AM,Group Play,Kansas City Athletics ECNL G2013/14,,,Liverpool FC MI ECNL G2013/14,KC Current Training Facility,Field 9,On Time,1083791
2026-10-18,12:00 PM,Group Play,Sporting Iowa ECNL G2013/14,,,St. Louis Scott Gallagher Navy ECNL G2013/14,Nebraska Multisports Complex,Field 5,On Time,1083795
2026-10-18,01:00 PM,Group Play,Sporting Blue Valley ECNL G2013/14,,,Nationals SC ECNL G2013/14,Scheels Overland Park Soccer Complex,Field 4,On Time,1083789
2026-10-24,10:45 AM,Group Play,St. Louis Scott Gallagher Green ECNL G2013/14,,,Missouri Rush ECNL G2013/14,WWT Soccer Park,Field 3,On Time,1083801
2026-10-24,02:00 PM,Group Play,Gretna Elite Academy ECNL G2013/14,,,Eclipse Select Soccer Club ECNL G2013/14,HyVee Multiplex,White 2,On Time,1083797
2026-10-24,02:00 PM,Group Play,Sporting Iowa ECNL G2013/14,,,Chicago Inter ECNL G2013/14,Hy-Vee Multiplex,Green #1,On Time,1083799
2026-10-24,02:15 PM,Group Play,St. Louis Scott Gallagher Navy ECNL G2013/14,,,Sporting Blue Valley ECNL G2013/14,WWT Soccer Park,Field 2,On Time,1083803
2026-10-25,08:00 AM,Group Play,Sporting Iowa ECNL G2013/14,,,Eclipse Select Soccer Club ECNL G2013/14,Hy-Vee Multiplex,Green #1,On Time,1083805
2026-10-25,08:00 AM,Group Play,Gretna Elite Academy ECNL G2013/14,,,Chicago Inter ECNL G2013/14,HyVee Multiplex,White 1,On Time,1083807
