date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2026-08-28,07:30 PM,Group Play,Michigan Hawks ECNL G2008/09,2,0,Michigan Hawks Magic ECNL G2008/09,Schoolcraft Turf,SC Turf,On Time,1067700
2026-08-29,09:00 AM,Group Play,Sporting Iowa ECNL G2008/09,0,5,Rockford Raptors FC ECNL G2008/09,Hy-Vee Multiplex,White #1,On Time,1067688
2026-08-29,09:00 AM,Group Play,Nationals SC ECNL G2008/09,5,2,St. Louis Scott Gallagher Navy ECNL G2008/09,Royal Oak High School,Field 1,On Time,1067692
2026-08-29,09:00 AM,Group Play,Liverpool FC MI ECNL G2008/09,3,3,St. Louis Scott Gallagher Green ECNL G2008/09,Avondale High School,Auxiliary,On Time,1067696
2026-08-29,11:40 AM,Group Play,Gretna Elite Academy ECNL G2008/09,4,0,FC Wisconsin ECNL G2008/09,Pinnacle Bank Soccer Complex ( Gretna Soccer Compl,Field 1,On Time,1067684
2026-08-29,01:00 PM,Group Play,Chicago Inter ECNL G2008/09,3,2,Missouri Rush ECNL G2008/09,Chicago Inter Complex,Field 2,On Time,1067680
2026-08-30,09:00 AM,Group Play,Liverpool FC MI ECNL G2008/09,0,4,St. Louis Scott Gallagher Navy ECNL G2008/09,Oakland University Upper Fields,South,On Time,1067716
2026-08-30,12:00 PM,Group Play,Gretna Elite Academy ECNL G2008/09,1,1,Rockford Raptors FC ECNL G2008/09,Pinnacle Bank Soccer Complex ( Gretna Soccer Compl,Field 2,On Time,1067708
2026-08-30,12:15 PM,Group Play,Nationals SC ECNL G2008/09,4,1,St. Louis Scott Gallagher Green ECNL G2008/09,Total Soccer Wixom, Old Trafford,On Time,1067712
2026-08-30,01:00 PM,Group Play,Sporting Iowa ECNL G2008/09,3,0,FC Wisconsin ECNL G2008/09,Hy-Vee Multiplex,White #2,On Time,1067704
2026-09-02,06:30 PM,Group Play,St. Louis Scott Gallagher Green ECNL G2008/09,0,4,St. Louis Scott Gallagher Navy ECNL G2008/09,WWT Soccer Park,Field 1,On Time,1067740
2026-09-05,08:00 AM,Group Play,Michigan Hawks ECNL G2008/09,,,Missouri Rush ECNL G2008/09,Schoolcraft Turf,SC Turf,On Time,1067732
2026-09-05,09:00 AM,Group Play,Kansas City Athletics ECNL G2008/09,2,2,Eclipse Select Soccer Club ECNL G2008/09,KC Current Training Facility,Field 8,On Time,1067720
2026-09-05,09:00 AM,Group Play,Sporting Blue Valley ECNL G2008/09,0,2,Chicago Inter ECNL G2008/09,Pinnacle National Development Center,East,On Time,1067724
2026-09-05,09:00 AM,Group Play,Liverpool FC MI ECNL G2008/09,1,3,Michigan Hawks Magic ECNL G2008/09,UWM Sports Complex,Field 1,On Time,1067728
2026-09-05,11:40 AM,Group Play,Gretna Elite Academy ECNL G2008/09,,,Sporting Iowa ECNL G2008/09,Pinnacle Bank Soccer Complex ( Gretna Soccer Compl,Field 1,On Time,1067736
2026-09-06,08:00 AM,Group Play,Michigan Hawks Magic ECNL G2008/09,,,Missouri Rush ECNL G2008/09,St. Joe's Sports Dome,St. Joe's Dome,On Time,1067752
2026-09-06,09:00 AM,Group Play,Kansas City Athletics ECNL G2008/09,,,Chicago Inter ECNL G2008/09,KC Current Training Facility,Field 3,On Time,1067744
2026-09-06,09:00 AM,Group Play,Sporting Blue Valley ECNL G2008/09,,,Eclipse Select Soccer Club ECNL G2008/09,Pinnacle National Development Center,East,On Time,1067748
2026-09-12,09:00 AM,Group Play,St. Louis Scott Gallagher Navy ECNL G2008/09,,,Sporting Blue Valley ECNL G2008/09,WWT Soccer Park,Field 1,On Time,1067764
2026-09-12,10:45 AM,Group Play,St. Louis Scott Gallagher Green ECNL G2008/09,,,Missouri Rush ECNL G2008/09,WWT Soccer Park,Field 3,On Time,1067760
2026-09-12,02:00 PM,Group Play,Rockford Raptors FC ECNL G2008/09,,,Liverpool FC MI ECNL G2008/09,Mercyhealth Sportscore Two,Field TBA (11v11),On Time,1067756
