rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Nationals SC ECNL G2008/09,Nationals,94331,2,2,0,0,6,3.0,9,3,6
2,Chicago Inter ECNL G2008/09,Chicago Inter,127909,2,2,0,0,6,3.0,5,2,3
3,Michigan Hawks ECNL G2008/09,Michigan Hawks,134109,1,1,0,0,3,3.0,2,0,2
4,St. Louis Scott Gallagher Navy ECNL G2008/09,St. Louis Scott Gallagher,134859,3,2,1,0,6,2.0,10,5,5
5,Rockford Raptors FC ECNL G2008/09,Rockford Raptors FC,134307,2,1,0,1,4,2.0,6,1,5
6,Gretna Elite Academy ECNL G2008/09,Gretna Elite Academy,46765,2,1,0,1,4,2.0,5,1,4
7,Michigan Hawks Magic ECNL G2008/09,Michigan Hawks,134120,2,1,1,0,3,1.5,3,3,0
8,Sporting Iowa ECNL G2008/09,Sporting Iowa Central,59751,2,1,1,0,3,1.5,3,5,-2
9,Eclipse Select Soccer Club ECNL G2008/09,Eclipse Select Soccer Club,136040,1,0,0,1,1,1.0,2,2,0
10,Kansas City Athletics ECNL G2008/09,KC Athletics,33175,1,0,0,1,1,1.0,2,2,0
11,Liverpool FC MI ECNL G2008/09,Liverpool FC-IA Michigan,58647,3,0,2,1,1,0.33,4,10,-6
12,St. Louis Scott Gallagher Green ECNL G2008/09,St. Louis Scott Gallagher,134867,3,0,2,1,1,0.33,4,11,-7
13,MN Thunder Academy ECNL G2008/09,Minnesota Thunder Academy,134415,0,0,0,0,0,0.0,0,0,0
14,Missouri Rush ECNL G2008/09,Missouri Rush,114377,1,0,1,0,0,0.0,2,3,-1
15,Sporting Blue Valley ECNL G2008/09,Sporting Blue Valley,131586,1,0,1,0,0,0.0,0,2,-2
16,FC Wisconsin ECNL G2008/09,FC Wisconsin Girls,53835,2,0,2,0,0,0.0,0,7,-7
