date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2026-09-12,TBD,Group Play,FC Stars White ECNL G2012/13,,,Select ECNL G2012/13,,,On Time,1068158
2026-09-13,02:00 PM,Group Play,World Class FC ECNL G2012/13,,,SUSA FC ECNL G2012/13,Orangetown Soccer Complex,Field 5,On Time,1068160
2026-09-19,TBD,Group Play,FC Stars Blue ECNL G2012/13,,,FSA FC ECNL G2012/13,,,On Time,1068162
2026-09-19,TBD,Group Play,FC Stars White ECNL G2012/13,,,Scorpions SC ECNL G2012/13,,,On Time,1068164
2026-09-19,02:00 PM,Group Play,World Class FC ECNL G2012/13,,,East Meadow Soccer Club ECNL G2012/13,Orangetown Soccer Complex,Field 5,On Time,1068166
2026-09-20,TBD,Group Play,FC Stars Blue ECNL G2012/13,,,Scorpions SC ECNL G2012/13,,,On Time,1068168
2026-09-20,TBD,Group Play,FC Stars White ECNL G2012/13,,,FSA FC ECNL G2012/13,,,On Time,1068170
2026-09-26,TBD,Group Play,FC Stars White ECNL G2012/13,,,FC Stars Blue ECNL G2012/13,,,On Time,1068172
2026-09-26,TBD,Group Play,Select ECNL G2012/13,,,World Class FC ECNL G2012/13,,,On Time,1068176
2026-09-26,10:00 AM,Group Play,Scorpions SC ECNL G2012/13,,,Connecticut FC United ECNL G2012/13,Taunton Forekicks,Field 12,On Time,1068174
2026-09-26,10:30 AM,Group Play,FSA FC ECNL G2012/13,,,East Meadow Soccer Club ECNL G2012/13,FSA-Farmington Sports Arena,Field 8,On Time,1068178
2026-09-27,TBD,Group Play,Select ECNL G2012/13,,,Connecticut FC United ECNL G2012/13,,,On Time,1068182
2026-09-27,10:30 AM,Group Play,FSA FC ECNL G2012/13,,,SUSA FC ECNL G2012/13,FSA-Farmington Sports Arena,Field 8,On Time,1068184
2026-09-27,11:30 AM,Group Play,Scorpions SC ECNL G2012/13,,,World Class FC ECNL G2012/13,Taunton Forekicks,Field 12,On Time,1068180
2026-10-03,TBD,Group Play,SUSA FC ECNL G2012/13,,,FC Stars Blue ECNL G2012/13,,,On Time,1068186
2026-10-03,TBD,Group Play,Connecticut FC United ECNL G2012/13,,,World Class FC ECNL G2012/13,,,On Time,1068190
2026-10-03,08:00 AM,Group Play,East Meadow Soccer Club ECNL G2012/13,,,FC Stars White ECNL G2012/13,East Meadow Field of Dreams,South Turf,On Time,1068188
2026-10-04,TBD,Group Play,SUSA FC ECNL G2012/13,,,FC Stars White ECNL G2012/13,,,On Time,1068194
2026-10-04,08:00 AM,Group Play,East Meadow Soccer Club ECNL G2012/13,,,FC Stars Blue ECNL G2012/13,East Meadow Field of Dreams,South Turf,On Time,1068192
2026-10-07,TBD,Group Play,Select ECNL G2012/13,,,Scorpions SC ECNL G2012/13,,,On Time,1068196
2026-10-17,TBD,Group Play,Select ECNL G2012/13,,,SUSA FC ECNL G2012/13,,,On Time,1068202
2026-10-17,11:30 AM,Group Play,Scorpions SC ECNL G2012/13,,,East Meadow Soccer Club ECNL G2012/13,Wheeler School,field 1,On Time,1068198
