date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2026-12-06,TBD,Group Play,Select ECNL G2008/09,,,Scorpions SC ECNL G2008/09,,,On Time,1071791
2026-12-12,TBD,Group Play,FC Stars Blue ECNL G2008/09,,,FSA FC ECNL G2008/09,,,On Time,1071792
2026-12-12,TBD,Group Play,FC Stars White ECNL G2008/09,,,Scorpions SC ECNL G2008/09,,,On Time,1071793
2026-12-12,TBD,Group Play,Connecticut FC United ECNL G2008/09,,,World Class FC ECNL G2008/09,,,On Time,1071794
2026-12-13,TBD,Group Play,FC Stars Blue ECNL G2008/09,,,Scorpions SC ECNL G2008/09,,,On Time,1071795
2026-12-13,TBD,Group Play,FC Stars White ECNL G2008/09,,,FSA FC ECNL G2008/09,,,On Time,1071796
2026-12-19,TBD,Group Play,FC Stars White ECNL G2008/09,,,Select ECNL G2008/09,,,On Time,1071797
2026-12-19,TBD,Group Play,World Class FC ECNL G2008/09,,,East Meadow Soccer Club ECNL G2008/09,,,On Time,1071799
2026-12-19,05:15 PM,Group Play,FSA FC ECNL G2008/09,,,SUSA FC ECNL G2008/09,FSA-Farmington Sports Arena,Field 6,On Time,1071798
2026-12-20,TBD,Group Play,World Class FC ECNL G2008/09,,,SUSA FC ECNL G2008/09,,,On Time,1071801
2026-12-20,02:30 PM,Group Play,FSA FC ECNL G2008/09,,,East Meadow Soccer Club ECNL G2008/09,FSA-Farmington Sports Arena,Field 8,On Time,1071800
2027-02-27,TBD,Group Play,FC Stars Blue ECNL G2008/09,,,FC Stars White ECNL G2008/09,,,On Time,1071836
2027-03-06,TBD,Group Play,Scorpions SC ECNL G2008/09,,,FC Stars Blue ECNL G2008/09,,,On Time,1071802
2027-03-06,TBD,Group Play,Select ECNL G2008/09,,,FC Stars White ECNL G2008/09,,,On Time,1071803
2027-03-06,TBD,Group Play,SUSA FC ECNL G2008/09,,,Connecticut FC United ECNL G2008/09,,,On Time,1071804
2027-03-07,TBD,Group Play,Scorpions SC ECNL G2008/09,,,FC Stars White ECNL G2008/09,,,On Time,1071805
2027-03-07,TBD,Group Play,Select ECNL G2008/09,,,FC Stars Blue ECNL G2008/09,,,On Time,1071806
2027-03-07,06:00 PM,Group Play,East Meadow Soccer Club ECNL G2008/09,,,Connecticut FC United ECNL G2008/09,East Meadow Field of Dreams,North Turf,On Time,1071815
2027-03-13,TBD,Group Play,FC Stars White ECNL G2008/09,,,FC Stars Blue ECNL G2008/09,,,On Time,1071807
