rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Connecticut FC United ECNL G2013/14,Connecticut FC,114665,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
2,East Meadow Soccer Club ECNL G2013/14,East Meadow Soccer Club,134818,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
3,FC Stars Blue ECNL G2013/14,FC Stars,94540,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
4,FC Stars White ECNL G2013/14,FC Stars,82242,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
5,FSA FC ECNL G2013/14,FSA FC,117147,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
6,Scorpions SC ECNL G2013/14,Scorpions SC,94747,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
7,Select ECNL G2013/14,Select,134369,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
8,SUSA FC ECNL G2013/14,SUSA FC,104044,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
9,World Class FC ECNL G2013/14,World Class FC,64208,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
1,Connecticut FC United ECNL G2012/13,Connecticut FC,114091,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
2,East Meadow Soccer Club ECNL G2012/13,East Meadow Soccer Club,134816,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
3,FC Stars Blue ECNL G2012/13,FC Stars,70655,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
4,FC Stars White ECNL G2012/13,FC Stars,81913,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
5,FSA FC ECNL G2012/13,FSA FC,82176,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
6,Scorpions SC ECNL G2012/13,Scorpions SC,94742,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
7,Select ECNL G2012/13,Select,134371,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
8,SUSA FC ECNL G2012/13,SUSA FC,95340,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
9,World Class FC ECNL G2012/13,World Class FC,64207,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
1,Connecticut FC United ECNL G2011/12,Connecticut FC,82332,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
2,East Meadow Soccer Club ECNL G2011/12,East Meadow Soccer Club,134811,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
3,FC Stars Blue ECNL G2011/12,FC Stars,61500,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
4,FC Stars White ECNL G2011/12,FC Stars,61270,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
5,FSA FC ECNL G2011/12,FSA FC,69502,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
6,Scorpions SC ECNL G2011/12,Scorpions SC,81552,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
7,Select ECNL G2011/12,Select,134372,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
8,SUSA FC ECNL G2011/12,SUSA FC,68848,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
9,World Class FC ECNL G2011/12,World Class FC,48903,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
1,Connecticut FC United ECNL G2010/11,Connecticut FC,82324,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
2,East Meadow Soccer Club ECNL G2010/11,East Meadow Soccer Club,134807,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
3,FC Stars Blue ECNL G2010/11,FC Stars,46955,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
4,FC Stars White ECNL G2010/11,FC Stars,46951,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
5,FSA FC ECNL G2010/11,FSA FC,60789,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
6,Scorpions SC ECNL G2010/11,Scorpions SC,69533,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
7,Select ECNL G2010/11,Select,134373,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
8,SUSA FC ECNL G2010/11,SUSA FC,59943,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
9,World Class FC ECNL G2010/11,World Class FC,40890,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
1,Connecticut FC United ECNL G2009/10,Connecticut FC,68939,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
