date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2026-08-22,10:00 AM,Group Play,Davis Legacy ECNL G2008/09,1,0,Mustang SC ECNL G2008/09,Davis Legacy Soccer Complex,Field 12,On Time,1094373
2026-08-22,10:00 AM,Group Play,Placer United ECNL G2008/09,1,2,San Juan SC ECNL G2008/09,Placer Valley Soccer Complex,Field 10,On Time,1094391
2026-08-22,10:00 AM,Group Play,Santa Rosa United ECNL G2008/09,2,3,COSC ECNL G2008/09,Trione Fields,Trione East,On Time,1094397
2026-08-22,01:00 PM,Group Play,MVLA ECNL G2008/09,3,0,Stanislaus Surf - ECNL G2008/09,Foothill College,Top Hill Soccer Field,On Time,1094385
2026-08-22,03:00 PM,Group Play,Force (CA) ECNL G2008/09,6,0,Marin FC ECNL G2008/09,De Anza College,Soccer Field,On Time,1094379
2026-08-29,09:00 AM,Group Play,Mustang SC ECNL G2008/09,0,3,Force (CA) ECNL G2008/09,Provident Field @ MSC, Lower,On Time,1094421
2026-08-29,10:00 AM,Group Play,COSC ECNL G2008/09,1,1,Stanislaus Surf - ECNL G2008/09,Edison High School Fields,field 1,On Time,1094403
2026-08-29,10:00 AM,Group Play,Davis Legacy ECNL G2008/09,0,3,MVLA ECNL G2008/09,Davis Legacy Soccer Complex,Field 12,On Time,1094409
2026-08-29,10:00 AM,Group Play,Placer United ECNL G2008/09,1,0,Santa Rosa United ECNL G2008/09,Placer Valley Soccer Complex,Field 5,On Time,1094427
2026-08-29,01:00 PM,Group Play,Pleasanton RAGE ECNL G2008/09,0,2,San Juan SC ECNL G2008/09,Val Vista,Field 3,On Time,1094433
2026-08-29,03:00 PM,Group Play,Marin FC ECNL G2008/09,,,Bay Area Surf - ECNL G2008/09,College of Marin,Stadium,On Time,1094415
2026-08-30,TBD,Group Play,Bay Area Surf - ECNL G2008/09,,,Santa Rosa United ECNL G2008/09,,,On Time,1094439
2026-08-30,09:00 AM,Group Play,Force (CA) ECNL G2008/09,3,0,Placer United ECNL G2008/09,De Anza College,Soccer Field,On Time,1094451
2026-08-30,09:00 AM,Group Play,San Juan SC ECNL G2008/09,9,0,Stanislaus Surf - ECNL G2008/09,Tiemann Law Firm Fields at San Juan Soccer Complex,White Field,On Time,1094469
2026-08-30,10:00 AM,Group Play,Davis Legacy ECNL G2008/09,3,1,Pleasanton RAGE ECNL G2008/09,Davis Legacy Soccer Complex,Field 12,On Time,1094445
2026-08-30,11:00 AM,Group Play,Marin FC ECNL G2008/09,4,2,COSC ECNL G2008/09,Marin Academy,Field 1,On Time,1094457
2026-09-12,TBD,Group Play,MVLA ECNL G2008/09,,,Marin FC ECNL G2008/09,,,On Time,1094493
2026-09-12,09:00 AM,Group Play,San Juan SC ECNL G2008/09,,,Santa Rosa United ECNL G2008/09,Tiemann Law Firm Fields at San Juan Soccer Complex,White Field,On Time,1094505
2026-09-12,12:00 PM,Group Play,COSC ECNL G2008/09,,,Force (CA) ECNL G2008/09,Edison High School Fields,field 1,On Time,1094475
2026-09-12,02:00 PM,Group Play,Davis Legacy ECNL G2008/09,,,Placer United ECNL G2008/09,Davis Legacy Soccer Complex,Field 11,On Time,1094481
2026-09-12,03:00 PM,Group Play,Mustang SC ECNL G2008/09,,,Bay Area Surf - ECNL G2008/09,Provident Field @ MSC, Upper,On Time,1094487
2026-09-12,03:00 PM,Group Play,Pleasanton RAGE ECNL G2008/09,,,Stanislaus Surf - ECNL G2008/09,Val Vista,Field 3,On Time,1094499
2026-09-19,09:00 AM,Group Play,San Juan SC ECNL G2008/09,,,Bay Area Surf - ECNL G2008/09,Tiemann Law Firm Fields at San Juan Soccer Complex,White Field,On Time,1094529
2026-09-19,09:00 AM,Group Play,Santa Rosa United ECNL G2008/09,,,Pleasanton RAGE ECNL G2008/09,Trione Fields,Trione East,On Time,1094535
2026-09-19,09:00 AM,Group Play,Stanislaus Surf - ECNL G2008/09,,,Placer United ECNL G2008/09,Thomas Downey High School,Field 1,On Time,1094541
2026-09-19,10:00 AM,Group Play,Davis Legacy ECNL G2008/09,,,COSC ECNL G2008/09,Davis Legacy Soccer Complex,Field 12,On Time,1094511
2026-09-19,11:00 AM,Group Play,Marin FC ECNL G2008/09,,,Mustang SC ECNL G2008/09,College of Marin,Stadium,On Time,1094523
2026-09-19,02:00 PM,Group Play,Force (CA) ECNL G2008/09,,,MVLA ECNL G2008/09,De Anza College,Soccer Field,On Time,1094517
2026-09-20,TBD,Group Play,Bay Area Surf - ECNL G2008/09,,,Stanislaus Surf - ECNL G2008/09,,,On Time,1094547
2026-09-20,TBD,Group Play,San Juan SC ECNL G2008/09,,,Force (CA) ECNL G2008/09,,,On Time,1094577
2026-09-20,10:00 AM,Group Play,Davis Legacy ECNL G2008/09,,,Santa Rosa United ECNL G2008/09,Davis Legacy Soccer Complex,Field 12,On Time,1094559
2026-09-20,10:00 AM,Group Play,Placer United ECNL G2008/09,,,Mustang SC ECNL G2008/09,Placer Valley Soccer Complex,Field 5,On Time,1094565
2026-09-20,12:00 PM,Group Play,COSC ECNL G2008/09,,,MVLA ECNL G2008/09,Edison High School Fields,field 1,On Time,1094553
2026-09-20,01:00 PM,Group Play,Pleasanton RAGE ECNL G2008/09,,,Marin FC ECNL G2008/09,Val Vista,Field 3,On Time,1094571
2026-09-26,TBD,Group Play,Force (CA) ECNL G2008/09,,,Bay Area Surf - ECNL G2008/09,,,On Time,1094589
2026-09-26,TBD,Group Play,Mustang SC ECNL G2008/09,,,Stanislaus Surf - ECNL G2008/09,,,On Time,1094601
2026-09-26,TBD,Group Play,MVLA ECNL G2008/09,,,Santa Rosa United ECNL G2008/09,,,On Time,1094607
2026-09-26,09:00 AM,Group Play,Marin FC ECNL G2008/09,,,Davis Legacy ECNL G2008/09,College of Marin,Stadium,On Time,1094595
2026-09-26,10:00 AM,Group Play,COSC ECNL G2008/09,,,San Juan SC ECNL G2008/09,Edison High School Fields,field 1,On Time,1094583
2026-09-26,10:00 AM,Group Play,Placer United ECNL G2008/09,,,Pleasanton RAGE ECNL G2008/09,Placer Valley Soccer Complex,Field 5,On Time,1094613
2026-09-27,TBD,Group Play,Bay Area Surf - ECNL G2008/09,,,Placer United ECNL G2008/09,,,On Time,1094619
2026-09-27,TBD,Group Play,Force (CA) ECNL G2008/09,,,Davis Legacy ECNL G2008/09,,,On Time,1094625
2026-09-27,09:00 AM,Group Play,San Juan SC ECNL G2008/09,,,MVLA ECNL G2008/09,Tiemann Law Firm Fields at San Juan Soccer Complex,White Field,On Time,1094637
2026-09-27,09:00 AM,Group Play,Santa Rosa United ECNL G2008/09,,,Mustang SC ECNL G2008/09,Trione Fields,Trione East,On Time,1094643
2026-09-27,10:00 AM,Group Play,Stanislaus Surf - ECNL G2008/09,,,Marin FC ECNL G2008/09,Mary Grogan Community Park,field 1,On Time,1094649
2026-09-27,05:00 PM,Group Play,Pleasanton RAGE ECNL G2008/09,,,COSC ECNL G2008/09,Val Vista,Field 1,On Time,1094631
2026-10-03,TBD,Group Play,Force (CA) ECNL G2008/09,,,Stanislaus Surf - ECNL G2008/09,,,On Time,1094667
2026-10-03,TBD,Group Play,Mustang SC ECNL G2008/09,,,San Juan SC ECNL G2008/09,,,On Time,1094679
2026-10-03,TBD,Group Play,MVLA ECNL G2008/09,,,Pleasanton RAGE ECNL G2008/09,,,On Time,1094685
