date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2027-03-07,TBD,Group Play,PDA White ECNL G2011/12,,,HEX FC Bucks ECNL G2011/12,,,On Time,1072539
2027-03-09,06:45 PM,Group Play,PDA Blue ECNL G2011/12,,,PDA White ECNL G2011/12,PDA Main Complex,Field 3,On Time,1072687
2027-03-20,TBD,Group Play,Bethesda SC ECNL G2011/12,,,FC DELCO ECNL G2011/12,,,On Time,1072547
2027-03-20,TBD,Group Play,Penn Fusion Soccer Academy ECNL G2011/12,,,PDA Blue ECNL G2011/12,,,On Time,1072551
2027-03-20,TBD,Group Play,PDA White ECNL G2011/12,,,Match Fit Surf ECNL G2011/12,,,On Time,1072555
2027-03-20,12:15 PM,Group Play,Pipeline SC ECNL G2011/12,,,Philadelphia Ukrainian Nationals ECNL G2011/12,Mercy High School,Field 1,On Time,1072543
2027-03-21,TBD,Group Play,HEX FC Bucks ECNL G2011/12,,,Maryland United FC ECNL G2011/12,,,On Time,1072559
2027-03-21,12:15 PM,Group Play,Pipeline SC ECNL G2011/12,,,FC DELCO ECNL G2011/12,Mercy High School,Field 1,On Time,1072563
2027-03-27,TBD,Group Play,Maryland United FC ECNL G2011/12,,,Pipeline SC ECNL G2011/12,,,On Time,1072567
2027-03-27,TBD,Group Play,PDA White ECNL G2011/12,,,Penn Fusion Soccer Academy ECNL G2011/12,,,On Time,1072575
2027-03-27,TBD,Group Play,Match Fit Surf ECNL G2011/12,,,HEX FC Bucks ECNL G2011/12,,,On Time,1072579
2027-03-27,10:00 AM,Group Play,PDA Blue ECNL G2011/12,,,FC DELCO ECNL G2011/12,PDA Main Complex,Field 3,On Time,1072571
2027-04-10,TBD,Group Play,Maryland United FC ECNL G2011/12,,,PDA Blue ECNL G2011/12,,,On Time,1072587
2027-04-10,TBD,Group Play,Bethesda SC ECNL G2011/12,,,Pipeline SC ECNL G2011/12,,,On Time,1072591
2027-04-10,TBD,Group Play,PDA White ECNL G2011/12,,,Philadelphia Ukrainian Nationals ECNL G2011/12,,,On Time,1072595
2027-04-10,TBD,Group Play,HEX FC Bucks ECNL G2011/12,,,Penn Fusion Soccer Academy ECNL G2011/12,,,On Time,1072599
2027-04-11,TBD,Group Play,Philadelphia Ukrainian Nationals ECNL G2011/12,,,Maryland United FC ECNL G2011/12,,,On Time,1072603
2027-04-11,TBD,Group Play,Penn Fusion Soccer Academy ECNL G2011/12,,,Bethesda SC ECNL G2011/12,,,On Time,1072607
2027-04-11,TBD,Group Play,Match Fit Surf ECNL G2011/12,,,FC DELCO ECNL G2011/12,,,On Time,1072611
2027-04-17,TBD,Group Play,Maryland United FC ECNL G2011/12,,,PDA White ECNL G2011/12,,,On Time,1072615
2027-04-17,TBD,Group Play,Philadelphia Ukrainian Nationals ECNL G2011/12,,,Match Fit Surf ECNL G2011/12,,,On Time,1072623
2027-04-17,TBD,Group Play,FC DELCO ECNL G2011/12,,,Penn Fusion Soccer Academy ECNL G2011/12,,,On Time,1072627
