rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Bethesda SC ECNL G2010/11,Bethesda SC,135174,0,0,0,0,0,0.0,0,0,0
2,FC DELCO ECNL G2010/11,FC DELCO,68932,0,0,0,0,0,0.0,0,0,0
3,HEX FC Bucks ECNL G2010/11,HEX FC,131595,0,0,0,0,0,0.0,0,0,0
4,Maryland United FC ECNL G2010/11,Maryland United Football Club,69710,0,0,0,0,0,0.0,0,0,0
5,Match Fit Surf ECNL G2010/11,Match Fit Surf,34875,0,0,0,0,0,0.0,0,0,0
6,PDA Blue ECNL G2010/11,PDA Blue (North),128082,0,0,0,0,0,0.0,0,0,0
7,PDA White ECNL G2010/11,PDA White (Shore),128283,0,0,0,0,0,0.0,0,0,0
8,Penn Fusion Soccer Academy ECNL G2010/11,Penn Fusion Soccer Academy,135489,0,0,0,0,0,0.0,0,0,0
9,Philadelphia Ukrainian Nationals ECNL G2010/11,Philadelphia Ukrainian Nationals,134965,0,0,0,0,0,0.0,0,0,0
10,Pipeline SC ECNL G2010/11,Pipeline SC,53320,0,0,0,0,0,0.0,0,0,0
