date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2027-03-07,TBD,Group Play,PDA White ECNL G2008/09,,,HEX FC Bucks ECNL G2008/09,,,On Time,1072542
2027-03-09,08:00 PM,Group Play,PDA Blue ECNL G2008/09,,,PDA White ECNL G2008/09,,,On Time,1072690
2027-03-20,TBD,Group Play,Bethesda SC ECNL G2008/09,,,FC DELCO ECNL G2008/09,,,On Time,1072550
2027-03-20,TBD,Group Play,Penn Fusion Soccer Academy ECNL G2008/09,,,PDA Blue ECNL G2008/09,,,On Time,1072554
2027-03-20,TBD,Group Play,PDA White ECNL G2008/09,,,Match Fit Surf ECNL G2008/09,,,On Time,1072558
2027-03-20,05:30 PM,Group Play,Pipeline SC ECNL G2008/09,,,Philadelphia Ukrainian Nationals ECNL G2008/09,Mercy High School,Field 1,On Time,1072546
2027-03-21,TBD,Group Play,HEX FC Bucks ECNL G2008/09,,,Maryland United FC ECNL G2008/09,,,On Time,1072562
2027-03-21,05:45 PM,Group Play,Pipeline SC ECNL G2008/09,,,FC DELCO ECNL G2008/09,Mercy High School,Field 1,On Time,1072566
2027-03-27,TBD,Group Play,Maryland United FC ECNL G2008/09,,,Pipeline SC ECNL G2008/09,,,On Time,1072570
2027-03-27,TBD,Group Play,PDA White ECNL G2008/09,,,Penn Fusion Soccer Academy ECNL G2008/09,,,On Time,1072578
2027-03-27,TBD,Group Play,Match Fit Surf ECNL G2008/09,,,HEX FC Bucks ECNL G2008/09,,,On Time,1072582
2027-03-27,12:00 PM,Group Play,PDA Blue ECNL G2008/09,,,FC DELCO ECNL G2008/09,PDA Main Complex,Field 3,On Time,1072574
2027-04-10,TBD,Group Play,Maryland United FC ECNL G2008/09,,,PDA Blue ECNL G2008/09,,,On Time,1072590
2027-04-10,TBD,Group Play,Bethesda SC ECNL G2008/09,,,Pipeline SC ECNL G2008/09,,,On Time,1072594
2027-04-10,TBD,Group Play,PDA White ECNL G2008/09,,,Philadelphia Ukrainian Nationals ECNL G2008/09,,,On Time,1072598
2027-04-10,TBD,Group Play,HEX FC Bucks ECNL G2008/09,,,Penn Fusion Soccer Academy ECNL G2008/09,,,On Time,1072602
2027-04-11,TBD,Group Play,Philadelphia Ukrainian Nationals ECNL G2008/09,,,Maryland United FC ECNL G2008/09,,,On Time,1072606
