rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Avalanche ECNL G2010/11,Utah Avalanche,69910,0,0,0,0,0,0.0,0,0,0
2,Boise Thorns ECNL G2010/11,Boise Timbers | Thorns,82108,0,0,0,0,0,0.0,0,0,0
3,Eastside FC ECNL G2010/11,Eastside FC (WA),76992,0,0,0,0,0,0.0,0,0,0
4,La Roca FC ECNL G2010/11,La Roca FC,134130,0,0,0,0,0,0.0,0,0,0
5,Oregon Surf ECNL G2010/11,Oregon Surf SC,130035,0,0,0,0,0,0.0,0,0,0
6,PacNW SC ECNL G2010/11,PacNW,81140,0,0,0,0,0,0.0,0,0,0
7,Portland Thorns ECNL G2010/11,Portland Thorns FC,129740,0,0,0,0,0,0.0,0,0,0
8,Seattle United ECNL G2010/11,Seattle United,62229,0,0,0,0,0,0.0,0,0,0
9,XF ECNL G2010/11,Crossfire Premier,82131,0,0,0,0,0,0.0,0,0,0
10,Washington Premier ECNL G2010/11,Washington Premier FC,81526,0,0,0,0,0,0.0,0,0,0
