date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2026-11-21,TBD,Group Play,Avalanche ECNL G2009/10,,,La Roca FC ECNL G 2009/10,,,On Time,1058627
2026-12-12,TBD,Group Play,PacNW SC ECNL G2009/10,,,Eastside FC ECNL G2009/10,,,On Time,1058649
2026-12-12,TBD,Group Play,Portland Thorns ECNL G2009/10,,,Oregon Surf ECNL G2009/10,,,On Time,1058650
2026-12-12,TBD,Group Play,XF ECNL G2009/10,,,Boise Thorns ECNL G2009/10,,,On Time,1058653
2026-12-12,09:30 AM,Group Play,Seattle United ECNL G2009/10,,,La Roca FC ECNL G 2009/10,TBD,Field TBD,On Time,1058651
2026-12-12,11:00 AM,Group Play,Washington Premier ECNL G2009/10,,,Avalanche ECNL G2009/10,WPFC Field Complex,Field 3,On Time,1058652
2026-12-13,TBD,Group Play,Washington Premier ECNL G2009/10,,,La Roca FC ECNL G 2009/10,,,On Time,1058672
2026-12-13,TBD,Group Play,XF ECNL G2009/10,,,Boise Thorns ECNL G2009/10,,,On Time,1058673
2026-12-13,09:30 AM,Group Play,Seattle United ECNL G2009/10,,,Avalanche ECNL G2009/10,TBD,Field TBD,On Time,1058671
2027-01-16,TBD,Group Play,Oregon Surf ECNL G2009/10,,,Boise Thorns ECNL G2009/10,,,On Time,1058685
2027-01-16,TBD,Group Play,PacNW SC ECNL G2009/10,,,Portland Thorns ECNL G2009/10,,,On Time,1058686
2027-01-17,TBD,Group Play,PacNW SC ECNL G2009/10,,,Oregon Surf ECNL G2009/10,,,On Time,1058701
2027-01-17,TBD,Group Play,Portland Thorns ECNL G2009/10,,,Boise Thorns ECNL G2009/10,,,On Time,1058702
2027-01-17,TBD,Group Play,XF ECNL G2009/10,,,Washington Premier ECNL G2009/10,,,On Time,1058703
2027-01-23,TBD,Group Play,PacNW SC ECNL G2009/10,,,XF ECNL G2009/10,,,On Time,1058720
2027-01-23,11:00 AM,Group Play,Eastside FC ECNL G2009/10,,,Portland Thorns ECNL G2009/10,PRESTON PARK ATHLETIC FIELDS,Field 1,On Time,1058719
2027-01-23,11:00 AM,Group Play,Washington Premier ECNL G2009/10,,,Seattle United ECNL G2009/10,WPFC Field Complex,Field 4,On Time,1058721
2027-01-30,TBD,Group Play,PacNW SC ECNL G2009/10,,,Avalanche ECNL G2009/10,,,On Time,1058746
2027-01-30,TBD,Group Play,Washington Premier ECNL G2009/10,,,Portland Thorns ECNL G2009/10,,,On Time,1058748
2027-01-30,TBD,Group Play,XF ECNL G2009/10,,,Oregon Surf ECNL G2009/10,,,On Time,1058749
2027-01-30,09:00 AM,Group Play,Seattle United ECNL G2009/10,,,Boise Thorns ECNL G2009/10,TBD,Field 2,On Time,1058747
2027-01-30,01:00 PM,Group Play,Eastside FC ECNL G2009/10,,,La Roca FC ECNL G 2009/10,PRESTON PARK ATHLETIC FIELDS,Field 2,On Time,1058745
2027-01-31,TBD,Group Play,PacNW SC ECNL G2009/10,,,La Roca FC ECNL G 2009/10,,,On Time,1058772
2027-01-31,08:00 AM,Group Play,Seattle United ECNL G2009/10,,,Portland Thorns ECNL G2009/10,TBD,Field 2,On Time,1058773
2027-01-31,11:00 AM,Group Play,Eastside FC ECNL G2009/10,,,Avalanche ECNL G2009/10,PRESTON PARK ATHLETIC FIELDS,Field 2,On Time,1058771
2027-01-31,11:00 AM,Group Play,Washington Premier ECNL G2009/10,,,Boise Thorns ECNL G2009/10,WPFC Field Complex,Field 4,On Time,1058774
2027-02-06,TBD,Group Play,Oregon Surf ECNL G2009/10,,,Portland Thorns ECNL G2009/10,,,On Time,1058783
2027-02-07,06:00 AM,Group Play,Seattle United ECNL G2009/10,,,XF ECNL G2009/10,TBD,Field TBD,On Time,1058789
2027-02-20,TBD,Group Play,PacNW SC ECNL G2009/10,,,Washington Premier ECNL G2009/10,,,On Time,1058800
2027-02-20,11:00 AM,Group Play,Eastside FC ECNL G2009/10,,,Boise Thorns ECNL G2009/10,PRESTON PARK ATHLETIC FIELDS,Field 2,On Time,1058799
2027-02-21,TBD,Group Play,PacNW SC ECNL G2009/10,,,Boise Thorns ECNL G2009/10,,,On Time,1058816
2027-02-21,TBD,Group Play,XF ECNL G2009/10,,,Portland Thorns ECNL G2009/10,,,On Time,1058817
2027-02-21,11:00 AM,Group Play,Eastside FC ECNL G2009/10,,,Washington Premier ECNL G2009/10,PRESTON PARK ATHLETIC FIELDS,Field 2,On Time,1058815
2027-02-27,TBD,Group Play,XF ECNL G2009/10,,,Eastside FC ECNL G2009/10,,,On Time,1058835
2027-02-27,07:30 AM,Group Play,Seattle United ECNL G2009/10,,,PacNW SC ECNL G2009/10,TBD,Field TBD,On Time,1058833
2027-02-27,11:00 AM,Group Play,Washington Premier ECNL G2009/10,,,Oregon Surf ECNL G2009/10,WPFC Field Complex,Field 4,On Time,1058834
2027-02-28,TBD,Group Play,Boise Thorns ECNL G2009/10,,,Portland Thorns ECNL G2009/10,,,On Time,1058851
2027-02-28,11:00 AM,Group Play,Washington Premier ECNL G2009/10,,,XF ECNL G2009/10,WPFC Field Complex,Field 4,On Time,1058853
2027-02-28,01:00 PM,Group Play,Eastside FC ECNL G2009/10,,,Oregon Surf ECNL G2009/10,PRESTON PARK ATHLETIC FIELDS,Field 2,On Time,1058852
2027-03-06,TBD,Group Play,Boise Thorns ECNL G2009/10,,,Washington Premier ECNL G2009/10,,,On Time,1058877
2027-03-06,TBD,Group Play,Oregon Surf ECNL G2009/10,,,La Roca FC ECNL G 2009/10,,,On Time,1058878
2027-03-06,TBD,Group Play,Oregon Surf ECNL G2009/10,,,Avalanche ECNL G2009/10,,,On Time,1058879
2027-03-06,TBD,Group Play,Portland Thorns ECNL G2009/10,,,La Roca FC ECNL G 2009/10,,,On Time,1058880
2027-03-06,TBD,Group Play,Portland Thorns ECNL G2009/10,,,Avalanche ECNL G2009/10,,,On Time,1058881
2027-03-07,TBD,Group Play,Boise Thorns ECNL G2009/10,,,Eastside FC ECNL G2009/10,,,On Time,1058911
2027-03-07,TBD,Group Play,Oregon Surf ECNL G2009/10,,,La Roca FC ECNL G 2009/10,,,On Time,1058912
2027-03-07,TBD,Group Play,Oregon Surf ECNL G2009/10,,,Avalanche ECNL G2009/10,,,On Time,1058913
2027-03-07,TBD,Group Play,Portland Thorns ECNL G2009/10,,,La Roca FC ECNL G 2009/10,,,On Time,1058914
2027-03-07,TBD,Group Play,Portland Thorns ECNL G2009/10,,,Avalanche ECNL G2009/10,,,On Time,1058915
2027-03-07,TBD,Group Play,XF ECNL G2009/10,,,Seattle United ECNL G2009/10,,,On Time,1058916
2027-03-13,TBD,Group Play,Portland Thorns ECNL G2009/10,,,Eastside FC ECNL G2009/10,,,On Time,1058944
2027-03-13,TBD,Group Play,Avalanche ECNL G2009/10,,,Boise Thorns ECNL G2009/10,,,On Time,1058946
2027-03-13,07:30 AM,Group Play,Seattle United ECNL G2009/10,,,Oregon Surf ECNL G2009/10,TBD,Field TBD,On Time,1058945
2027-03-13,11:00 AM,Group Play,Washington Premier ECNL G2009/10,,,PacNW SC ECNL G2009/10,WPFC Field Complex,Field 3,On Time,1058947
2027-03-13,02:30 PM,Group Play,La Roca FC ECNL G 2009/10,,,XF ECNL G2009/10,La Roca Park,Field 1,On Time,1058943
2027-03-14,TBD,Group Play,Oregon Surf ECNL G2009/10,,,Eastside FC ECNL G2009/10,,,On Time,1058966
2027-03-14,TBD,Group Play,Avalanche ECNL G2009/10,,,XF ECNL G2009/10,,,On Time,1058967
2027-03-14,10:00 AM,Group Play,La Roca FC ECNL G 2009/10,,,Boise Thorns ECNL G2009/10,La Roca Park,Field 2,On Time,1058965
2027-03-20,TBD,Group Play,Boise Thorns ECNL G2009/10,,,Oregon Surf ECNL G2009/10,,,On Time,1058987
2027-03-20,TBD,Group Play,PacNW SC ECNL G2009/10,,,Seattle United ECNL G2009/10,,,On Time,1058990
2027-03-20,11:00 AM,Group Play,Eastside FC ECNL G2009/10,,,XF ECNL G2009/10,PRESTON PARK ATHLETIC FIELDS,Field 2,On Time,1058988
2027-03-20,02:30 PM,Group Play,La Roca FC ECNL G 2009/10,,,Avalanche ECNL G2009/10,La Roca Park,Field 1,On Time,1058989
2027-03-21,TBD,Group Play,XF ECNL G2009/10,,,PacNW SC ECNL G2009/10,,,On Time,1059004
2027-03-21,11:00 AM,Group Play,Eastside FC ECNL G2009/10,,,Seattle United ECNL G2009/10,PRESTON PARK ATHLETIC FIELDS,Field 2,On Time,1059003
2027-04-10,TBD,Group Play,Oregon Surf ECNL G2009/10,,,PacNW SC ECNL G2009/10,,,On Time,1059024
2027-04-10,TBD,Group Play,Portland Thorns ECNL G2009/10,,,Washington Premier ECNL G2009/10,,,On Time,1059025
2027-04-10,TBD,Group Play,Avalanche ECNL G2009/10,,,Eastside FC ECNL G2009/10,,,On Time,1059026
2027-04-10,09:00 AM,Group Play,La Roca FC ECNL G 2009/10,,,Seattle United ECNL G2009/10,La Roca Park,Field 2,On Time,1059023
2027-04-11,TBD,Group Play,Oregon Surf ECNL G2009/10,,,Washington Premier ECNL G2009/10,,,On Time,1059048
2027-04-11,TBD,Group Play,Portland Thorns ECNL G2009/10,,,PacNW SC ECNL G2009/10,,,On Time,1059049
2027-04-11,09:00 AM,Group Play,Avalanche ECNL G2009/10,,,Seattle United ECNL G2009/10,St. Joseph Catholic High School,Turf Field,On Time,1059050
2027-04-11,01:15 PM,Group Play,La Roca FC ECNL G 2009/10,,,Eastside FC ECNL G2009/10,La Roca Park,Field 2,On Time,1059047
2027-04-17,TBD,Group Play,Boise Thorns ECNL G2009/10,,,PacNW SC ECNL G2009/10,,,On Time,1059079
2027-04-17,TBD,Group Play,La Roca FC ECNL G 2009/10,,,Oregon Surf ECNL G2009/10,,,On Time,1059080
2027-04-17,TBD,Group Play,Avalanche ECNL G2009/10,,,Oregon Surf ECNL G2009/10,,,On Time,1059082
2027-04-17,TBD,Group Play,Avalanche ECNL G2009/10,,,Portland Thorns ECNL G2009/10,,,On Time,1059083
2027-04-17,09:00 AM,Group Play,La Roca FC ECNL G 2009/10,,,Portland Thorns ECNL G2009/10,La Roca Park,Field 2,On Time,1059081
2027-04-17,12:00 PM,Group Play,Washington Premier ECNL G2009/10,,,Eastside FC ECNL G2009/10,WPFC Field Complex,Field 3,On Time,1059084
2027-04-18,TBD,Group Play,Boise Thorns ECNL G2009/10,,,Seattle United ECNL G2009/10,,,On Time,1059111
2027-04-18,TBD,Group Play,La Roca FC ECNL G 2009/10,,,Portland Thorns ECNL G2009/10,,,On Time,1059113
2027-04-18,TBD,Group Play,Avalanche ECNL G2009/10,,,Portland Thorns ECNL G2009/10,,,On Time,1059115
2027-04-18,11:15 AM,Group Play,Avalanche ECNL G2009/10,,,Oregon Surf ECNL G2009/10,St. Joseph Catholic High School,Turf Field,On Time,1059114
2027-04-18,01:15 PM,Group Play,La Roca FC ECNL G 2009/10,,,Oregon Surf ECNL G2009/10,La Roca Park,Field 1,On Time,1059112
2027-04-24,TBD,Group Play,Oregon Surf ECNL G2009/10,,,Seattle United ECNL G2009/10,,,On Time,1059138
2027-04-24,TBD,Group Play,Portland Thorns ECNL G2009/10,,,XF ECNL G2009/10,,,On Time,1059139
2027-04-24,TBD,Group Play,Avalanche ECNL G2009/10,,,PacNW SC ECNL G2009/10,,,On Time,1059140
2027-04-24,09:00 AM,Group Play,La Roca FC ECNL G 2009/10,,,Washington Premier ECNL G2009/10,La Roca Park,Field 2,On Time,1059137
2027-04-25,TBD,Group Play,Oregon Surf ECNL G2009/10,,,XF ECNL G2009/10,,,On Time,1059162
