date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2026-11-21,TBD,Group Play,Avalanche ECNL G2008/09,,,La Roca FC ECNL G2008/09,,,On Time,1058628
2026-12-12,TBD,Group Play,PacNW SC ECNL G2008/09,,,Eastside FC ECNL G2008/09,,,On Time,1058654
2026-12-12,TBD,Group Play,Portland Thorns ECNL G2008/09,,,Oregon Surf ECNL G2008/09,,,On Time,1058655
2026-12-12,TBD,Group Play,XF ECNL G2008/09,,,Boise Thorns ECNL G2008/09,,,On Time,1058658
2026-12-12,07:30 AM,Group Play,Seattle United ECNL G2008/09,,,La Roca FC ECNL G2008/09,TBD,Field TBD,On Time,1058656
2026-12-12,11:00 AM,Group Play,Washington Premier ECNL G2008/09,,,Avalanche ECNL G2008/09,WPFC Field Complex,Field 4,On Time,1058657
2026-12-13,TBD,Group Play,Washington Premier ECNL G2008/09,,,La Roca FC ECNL G2008/09,,,On Time,1058675
2026-12-13,TBD,Group Play,XF ECNL G2008/09,,,Boise Thorns ECNL G2008/09,,,On Time,1058676
2026-12-13,07:30 AM,Group Play,Seattle United ECNL G2008/09,,,Avalanche ECNL G2008/09,TBD,Field TBD,On Time,1058674
2027-01-16,TBD,Group Play,Oregon Surf ECNL G2008/09,,,Boise Thorns ECNL G2008/09,,,On Time,1058687
2027-01-16,TBD,Group Play,PacNW SC ECNL G2008/09,,,Portland Thorns ECNL G2008/09,,,On Time,1058688
2027-01-17,TBD,Group Play,PacNW SC ECNL G2008/09,,,Oregon Surf ECNL G2008/09,,,On Time,1058704
2027-01-17,TBD,Group Play,Portland Thorns ECNL G2008/09,,,Boise Thorns ECNL G2008/09,,,On Time,1058705
2027-01-17,TBD,Group Play,XF ECNL G2008/09,,,Washington Premier ECNL G2008/09,,,On Time,1058706
2027-01-23,TBD,Group Play,PacNW SC ECNL G2008/09,,,XF ECNL G2008/09,,,On Time,1058723
2027-01-23,11:00 AM,Group Play,Washington Premier ECNL G2008/09,,,Seattle United ECNL G2008/09,WPFC Field Complex,Field 3,On Time,1058724
2027-01-23,03:00 PM,Group Play,Eastside FC ECNL G2008/09,,,Portland Thorns ECNL G2008/09,PRESTON PARK ATHLETIC FIELDS,Field 1,On Time,1058722
2027-01-30,TBD,Group Play,PacNW SC ECNL G2008/09,,,Avalanche ECNL G2008/09,,,On Time,1058751
2027-01-30,TBD,Group Play,Washington Premier ECNL G2008/09,,,Portland Thorns ECNL G2008/09,,,On Time,1058753
2027-01-30,TBD,Group Play,XF ECNL G2008/09,,,Oregon Surf ECNL G2008/09,,,On Time,1058754
