rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Avalanche ECNL G2008/09,Utah Avalanche,58149,0,0,0,0,0,0.0,0,0,0
2,Boise Thorns ECNL G2008/09,Boise Timbers | Thorns,59556,0,0,0,0,0,0.0,0,0,0
3,Eastside FC ECNL G2008/09,Eastside FC (WA),59855,0,0,0,0,0,0.0,0,0,0
4,La Roca FC ECNL G2008/09,La Roca FC,134116,0,0,0,0,0,0.0,0,0,0
5,Oregon Surf ECNL G2008/09,Oregon Surf SC,130026,0,0,0,0,0,0.0,0,0,0
6,PacNW SC ECNL G2008/09,PacNW,46755,0,0,0,0,0,0.0,0,0,0
7,Portland Thorns ECNL G2008/09,Portland Thorns FC,129742,0,0,0,0,0,0.0,0,0,0
8,Seattle United ECNL G2008/09,Seattle United,39162,0,0,0,0,0,0.0,0,0,0
9,XF ECNL G2008/09,Crossfire Premier,60436,0,0,0,0,0,0.0,0,0,0
10,Washington Premier ECNL G2008/09,Washington Premier FC,54576,0,0,0,0,0,0.0,0,0,0
