rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Avalanche ECNL G2013/14,Utah Avalanche,127576,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
2,Boise Thorns ECNL G2013/14,Boise Timbers | Thorns,132621,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
3,Eastside FC ECNL G2013/14,Eastside FC (WA),90863,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
4,La Roca FC ECNL G2013/14,La Roca FC,134157,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
5,Oregon Surf ECNL G2013/14,Oregon Surf SC,90917,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
6,PacNW SC ECNL G2013/14,PacNW,131336,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
7,Portland Thorns ECNL G2013/14,Portland Thorns FC,129674,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
8,Seattle United ECNL G2013/14,Seattle United,103559,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
9,XF ECNL G2013/14,Crossfire Premier,99660,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
10,Washington Premier ECNL G2013/14,Washington Premier FC,99088,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
1,Avalanche ECNL G2012/13,Utah Avalanche,103936,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
2,Boise Thorns ECNL G2012/13,Boise Timbers | Thorns,115480,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
3,Eastside FC ECNL G2012/13,Eastside FC (WA),90882,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
4,La Roca FC ECNL G2012/13,La Roca FC,134144,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
5,Oregon Surf ECNL G2012/13,Oregon Surf SC,130048,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
6,PacNW SC ECNL G2012/13,PacNW,104642,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
7,Portland Thorns ECNL G2012/13,Portland Thorns FC,129673,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
8,Seattle United ECNL G2012/13,Seattle United,88412,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
9,XF ECNL G2012/13,Crossfire Premier,104549,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
10,Washington Premier ECNL G2012/13,Washington Premier FC,83471,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
1,Avalanche ECNL G2011/12,Utah Avalanche,81565,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
2,Boise Thorns ECNL G2011/12,Boise Timbers | Thorns,82285,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
3,Eastside FC ECNL G2011/12,Eastside FC (WA),80480,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
4,La Roca FC ECNL G2011/12,La Roca FC,134137,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
5,Oregon Surf ECNL G2011/12,Oregon Surf SC,130041,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
6,PacNW SC ECNL G2011/12,PacNW,85527,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
7,Portland Thorns ECNL G2011/12,Portland Thorns FC,129741,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
8,Seattle United ECNL G2011/12,Seattle United,77000,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
9,Washington Premier ECNL G2011/12,Washington Premier FC,134546,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
10,XF ECNL G2011/12,Crossfire Premier,94927,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
1,Avalanche ECNL G2010/11,Utah Avalanche,69910,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
2,Boise Thorns ECNL G2010/11,Boise Timbers | Thorns,82108,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
3,Eastside FC ECNL G2010/11,Eastside FC (WA),76992,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
4,La Roca FC ECNL G2010/11,La Roca FC,134130,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
5,Oregon Surf ECNL G2010/11,Oregon Surf SC,130035,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
6,PacNW SC ECNL G2010/11,PacNW,81140,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
7,Portland Thorns ECNL G2010/11,Portland Thorns FC,129740,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
8,Seattle United ECNL G2010/11,Seattle United,62229,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
9,XF ECNL G2010/11,Crossfire Premier,82131,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
10,Washington Premier ECNL G2010/11,Washington Premier FC,81526,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
1,Avalanche ECNL G2009/10,Utah Avalanche,69486,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
2,Boise Thorns ECNL G2009/10,Boise Timbers | Thorns,69320,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
3,Eastside FC ECNL G2009/10,Eastside FC (WA),69451,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
4,La Roca FC ECNL G 2009/10,La Roca FC,134122,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
5,Oregon Surf ECNL G2009/10,Oregon Surf SC,130031,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
6,PacNW SC ECNL G2009/10,PacNW,68795,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
7,Portland Thorns ECNL G2009/10,Portland Thorns FC,129743,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
8,Seattle United ECNL G2009/10,Seattle United,56728,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
9,XF ECNL G2009/10,Crossfire Premier,62279,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
10,Washington Premier ECNL G2009/10,Washington Premier FC,68860,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
1,Avalanche ECNL G2008/09,Utah Avalanche,58149,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
2,Boise Thorns ECNL G2008/09,Boise Timbers | Thorns,59556,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
3,Eastside FC ECNL G2008/09,Eastside FC (WA),59855,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
4,La Roca FC ECNL G2008/09,La Roca FC,134116,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
5,Oregon Surf ECNL G2008/09,Oregon Surf SC,130026,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
6,PacNW SC ECNL G2008/09,PacNW,46755,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
7,Portland Thorns ECNL G2008/09,Portland Thorns FC,129742,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
8,Seattle United ECNL G2008/09,Seattle United,39162,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
