date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2026-09-19,TBD,Group Play,Ohio Premier ECNL G2012/13,,,FC Pride Elite ECNL G2012/13,,,On Time,1072796
2026-09-19,09:00 AM,Group Play,Cleveland Force SC ECNL G2012/13,,,Tennessee SC ECNL G2012/13,Victory Park,Field 3,On Time,1072786
2026-09-19,10:30 AM,Group Play,WNY Flash ECNL G2012/13,,,Ohio Elite SA ECNL G2012/13,Flash Fields,Field A,On Time,1072790
2026-09-19,10:30 AM,Group Play,Pittsburgh Riverhounds ECNL G2012/13,,,Racing Louisville Academy ECNL G2012/13,Montour Junction Sports Complex,Field 1,On Time,1072792
2026-09-19,10:45 AM,Group Play,Internationals SC ECNL G2012/2013,,,FC Alliance TN ECNL G2012/13,Pinnacle Sports,OT 11v11,On Time,1072788
2026-09-19,01:00 PM,Group Play,GTFC Impact ECNL G2012/13,,,Indy Eleven ECNL G2012/13,Rossford Soccer Center Dome,Indoor 11v11,On Time,1072794
2026-09-20,TBD,Group Play,Ohio Premier ECNL G2012/13,,,Indy Eleven ECNL G2012/13,,,On Time,1072808
2026-09-20,09:00 AM,Group Play,Cleveland Force SC ECNL G2012/13,,,FC Alliance TN ECNL G2012/13,Victory Park,Field 3,On Time,1072798
2026-09-20,10:30 AM,Group Play,WNY Flash ECNL G2012/13,,,Racing Louisville Academy ECNL G2012/13,Flash Fields,Field A,On Time,1072802
2026-09-20,10:30 AM,Group Play,Pittsburgh Riverhounds ECNL G2012/13,,,Ohio Elite SA ECNL G2012/13,Montour Junction Sports Complex,Field 1,On Time,1072804
2026-09-20,10:45 AM,Group Play,Internationals SC ECNL G2012/2013,,,Tennessee SC ECNL G2012/13,Pinnacle Sports,OT 11v11,On Time,1072800
2026-09-20,11:00 AM,Group Play,GTFC Impact ECNL G2012/13,,,FC Pride Elite ECNL G2012/13,Rossford Soccer Center Dome,Indoor 11v11,On Time,1072806
2026-09-26,TBD,Group Play,Tennessee SC ECNL G2012/13,,,Indy Eleven ECNL G2012/13,,,On Time,1072818
2026-09-26,09:00 AM,Group Play,Cleveland Force SC ECNL G2012/13,,,WNY Flash ECNL G2012/13,Victory Park,Field 4,On Time,1073034
2026-09-26,10:45 AM,Group Play,Internationals SC ECNL G2012/2013,,,Pittsburgh Riverhounds ECNL G2012/13,Pinnacle Sports,OT 11v11,On Time,1073036
2026-09-26,11:00 AM,Group Play,FC Alliance TN ECNL G2012/13,,,FC Pride Elite ECNL G2012/13,Hardin Valley Academy Stadium,Field 1,On Time,1072820
2026-09-26,01:00 PM,Group Play,Racing Louisville Academy ECNL G2012/13,,,Ohio Premier ECNL G2012/13,Lynn Family Sports Vision & Training Facility,Field 3,On Time,1072816
2026-09-26,02:45 PM,Group Play,Ohio Elite SA ECNL G2012/13,,,GTFC Impact ECNL G2012/13,Ohio Elite Training Center,Field 9,On Time,1072814
2026-09-27,TBD,Group Play,Tennessee SC ECNL G2012/13,,,FC Pride Elite ECNL G2012/13,,,On Time,1072830
2026-09-27,09:00 AM,Group Play,Cleveland Force SC ECNL G2012/13,,,Pittsburgh Riverhounds ECNL G2012/13,Victory Park,Field 4,On Time,1073042
2026-09-27,10:45 AM,Group Play,Internationals SC ECNL G2012/2013,,,WNY Flash ECNL G2012/13,Pinnacle Sports,OT 11v11,On Time,1073044
2026-09-27,11:00 AM,Group Play,Racing Louisville Academy ECNL G2012/13,,,GTFC Impact ECNL G2012/13,Lynn Family Sports Vision & Training Facility,Field 3,On Time,1072828
2026-09-27,11:00 AM,Group Play,FC Alliance TN ECNL G2012/13,,,Indy Eleven ECNL G2012/13,Hardin Valley Academy Stadium,Field 1,On Time,1072832
2026-09-27,01:45 PM,Group Play,Ohio Elite SA ECNL G2012/13,,,Ohio Premier ECNL G2012/13,Ohio Elite Training Center,Field 9,On Time,1072826
2026-10-03,TBD,Group Play,Ohio Premier ECNL G2012/13,,,GTFC Impact ECNL G2012/13,,,On Time,1072838
2026-10-03,10:30 AM,Group Play,Pittsburgh Riverhounds ECNL G2012/13,,,WNY Flash ECNL G2012/13,Montour Junction Sports Complex,Field 1,On Time,1072836
2026-10-03,10:45 AM,Group Play,FC Pride Elite ECNL G2012/13,,,Indy Eleven ECNL G2012/13,FC Pride Performance Center,Field 1,On Time,1072840
2026-10-03,02:30 PM,Group Play,FC Alliance TN ECNL G2012/13,,,Tennessee SC ECNL G2012/13,Hardin Valley Academy Stadium,Field 1,On Time,1072842
2026-10-04,01:00 PM,Group Play,Racing Louisville Academy ECNL G2012/13,,,Ohio Elite SA ECNL G2012/13,Lynn Family Sports Vision & Training Facility,Field 3,On Time,1072844
2026-10-04,04:45 PM,Group Play,Internationals SC ECNL G2012/2013,,,Cleveland Force SC ECNL G2012/13,Pinnacle Sports,OT 11v11,On Time,1072834
2026-10-17,TBD,Group Play,Ohio Premier ECNL G2012/13,,,FC Alliance TN ECNL G2012/13,,,On Time,1072852
2026-10-17,09:00 AM,Group Play,Cleveland Force SC ECNL G2012/13,,,Ohio Elite SA ECNL G2012/13,Victory Park,Field 4,On Time,1072846
2026-10-17,10:45 AM,Group Play,Internationals SC ECNL G2012/2013,,,Racing Louisville Academy ECNL G2012/13,Pinnacle Sports,OT 11v11,On Time,1072848
2026-10-17,10:45 AM,Group Play,FC Pride Elite ECNL G2012/13,,,Pittsburgh Riverhounds ECNL G2012/13,FC Pride Performance Center,Field 1,On Time,1072856
2026-10-17,11:00 AM,Group Play,GTFC Impact ECNL G2012/13,,,Tennessee SC ECNL G2012/13,Rossford Soccer Center Dome,Indoor 11v11,On Time,1072850
2026-10-17,12:00 PM,Group Play,Indy Eleven ECNL G2012/13,,,WNY Flash ECNL G2012/13,Grand Park ,Field 1,On Time,1072854
2026-10-18,TBD,Group Play,Cleveland Force SC ECNL G2012/13,,,Racing Louisville Academy ECNL G2012/13,,,On Time,1072858
2026-10-18,TBD,Group Play,Ohio Premier ECNL G2012/13,,,Tennessee SC ECNL G2012/13,,,On Time,1072864
2026-10-18,10:45 AM,Group Play,Internationals SC ECNL G2012/2013,,,Ohio Elite SA ECNL G2012/13,Pinnacle Sports,OT 11v11,On Time,1072860
2026-10-18,10:45 AM,Group Play,FC Pride Elite ECNL G2012/13,,,WNY Flash ECNL G2012/13,FC Pride Performance Center,Field 1,On Time,1072868
2026-10-18,11:00 AM,Group Play,GTFC Impact ECNL G2012/13,,,FC Alliance TN ECNL G2012/13,Springfield High School,11v11,On Time,1072862
2026-10-18,11:00 AM,Group Play,Indy Eleven ECNL G2012/13,,,Pittsburgh Riverhounds ECNL G2012/13,Grand Park ,Field 1,On Time,1072866
2026-10-24,09:00 AM,Group Play,Cleveland Force SC ECNL G2012/13,,,Indy Eleven ECNL G2012/13,Victory Park,Field 3,On Time,1072870
2026-10-24,10:30 AM,Group Play,Pittsburgh Riverhounds ECNL G2012/13,,,Ohio Premier ECNL G2012/13,Montour Junction Sports Complex,Field 1,On Time,1072876
2026-10-24,10:45 AM,Group Play,Internationals SC ECNL G2012/2013,,,FC Pride Elite ECNL G2012/13,Pinnacle Sports,OT 11v11,On Time,1072872
2026-10-24,10:45 AM,Group Play,WNY Flash ECNL G2012/13,,,GTFC Impact ECNL G2012/13,Flash Fields,Field A,On Time,1072874
2026-10-24,11:00 AM,Group Play,Racing Louisville Academy ECNL G2012/13,,,FC Alliance TN ECNL G2012/13,Lynn Family Sports Vision & Training Facility,Field 3,On Time,1072880
2026-10-24,11:30 AM,Group Play,Ohio Elite SA ECNL G2012/13,,,Tennessee SC ECNL G2012/13,Ohio Elite Training Center,Field 11,On Time,1072878
2026-10-25,09:00 AM,Group Play,Cleveland Force SC ECNL G2012/13,,,FC Pride Elite ECNL G2012/13,Victory Park,Field 3,On Time,1072882
2026-10-25,10:30 AM,Group Play,Pittsburgh Riverhounds ECNL G2012/13,,,GTFC Impact ECNL G2012/13,Montour Junction Sports Complex,Indoor,On Time,1072888
2026-10-25,10:45 AM,Group Play,Internationals SC ECNL G2012/2013,,,Indy Eleven ECNL G2012/13,Pinnacle Sports,OT 11v11,On Time,1072884
2026-10-25,10:45 AM,Group Play,WNY Flash ECNL G2012/13,,,Ohio Premier ECNL G2012/13,Flash Fields,Field A,On Time,1072886
2026-10-25,11:00 AM,Group Play,Racing Louisville Academy ECNL G2012/13,,,Tennessee SC ECNL G2012/13,Lynn Family Sports Vision & Training Facility,Field 3,On Time,1072892
2026-10-25,11:30 AM,Group Play,Ohio Elite SA ECNL G2012/13,,,FC Alliance TN ECNL G2012/13,Ohio Elite Training Center,Field 9,On Time,1072890
2026-10-31,12:15 PM,Group Play,GTFC Impact ECNL G2012/13,,,Internationals SC ECNL G2012/2013,Rossford Soccer Center Dome,Indoor 11v11,On Time,1072974
2026-11-01,TBD,Group Play,Ohio Premier ECNL G2012/13,,,Internationals SC ECNL G2012/2013,,,On Time,1072896
2026-11-01,10:45 AM,Group Play,FC Pride Elite ECNL G2012/13,,,Racing Louisville Academy ECNL G2012/13,FC Pride Performance Center,Field 1,On Time,1072900
2026-11-01,12:00 PM,Group Play,Indy Eleven ECNL G2012/13,,,Ohio Elite SA ECNL G2012/13,Grand Park ,Field 1,On Time,1072898
2026-11-01,01:00 PM,Group Play,GTFC Impact ECNL G2012/13,,,Cleveland Force SC ECNL G2012/13,Findlay High School ,Elmer Graham Stadium,On Time,1072894
2026-11-07,TBD,Group Play,Cleveland Force SC ECNL G2012/13,,,Ohio Premier ECNL G2012/13,,,On Time,1072902
2026-11-07,11:00 AM,Group Play,Tennessee SC ECNL G2012/13,,,WNY Flash ECNL G2012/13,Bethesda Sports Park,Field 1,On Time,1072906
2026-11-07,11:00 AM,Group Play,FC Alliance TN ECNL G2012/13,,,Pittsburgh Riverhounds ECNL G2012/13,Hardin Valley Academy Stadium,Field 1,On Time,1072908
2026-11-07,12:30 PM,Group Play,Ohio Elite SA ECNL G2012/13,,,FC Pride Elite ECNL G2012/13,Seven Hills School,Lower Field,On Time,1072910
2026-11-07,03:00 PM,Group Play,Racing Louisville Academy ECNL G2012/13,,,Indy Eleven ECNL G2012/13,Lynn Family Sports Vision & Training Facility,Field 4,On Time,1072912
2026-11-08,09:30 AM,Group Play,Tennessee SC ECNL G2012/13,,,Pittsburgh Riverhounds ECNL G2012/13,Bethesda Sports Park,Field 1,On Time,1072914
2026-11-08,11:00 AM,Group Play,FC Alliance TN ECNL G2012/13,,,WNY Flash ECNL G2012/13,Hardin Valley Academy Stadium,Field 1,On Time,1072916
2027-03-06,TBD,Group Play,GTFC Impact ECNL G2012/13,,,Ohio Premier ECNL G2012/13,,,On Time,1072920
2027-03-06,TBD,Group Play,Tennessee SC ECNL G2012/13,,,Ohio Elite SA ECNL G2012/13,,,On Time,1072926
