rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Cleveland Force SC ECNL G2012/13,Cleveland Force SC,71387,0,0,0,0,0,0.0,0,0,0
2,FC Alliance TN ECNL G2012/13,FC Alliance TN,134639,0,0,0,0,0,0.0,0,0,0
3,FC Pride Elite ECNL G2012/13,FC Pride,68813,0,0,0,0,0,0.0,0,0,0
4,GTFC Impact ECNL G2012/13,GTFC Impact,108213,0,0,0,0,0,0.0,0,0,0
5,Indy Eleven ECNL G2012/13,Indy Eleven Academy,72343,0,0,0,0,0,0.0,0,0,0
6,Internationals SC ECNL G2012/2013,Internationals SC,69614,0,0,0,0,0,0.0,0,0,0
7,Ohio Elite SA ECNL G2012/13,Ohio Elite Soccer Academy,69457,0,0,0,0,0,0.0,0,0,0
8,Ohio Premier ECNL G2012/13,Ohio Premier,80685,0,0,0,0,0,0.0,0,0,0
9,Pittsburgh Riverhounds ECNL G2012/13,Pittsburgh Riverhounds,69760,0,0,0,0,0,0.0,0,0,0
10,Racing Louisville Academy ECNL G2012/13,LouCity / Racing Youth Academy,132998,0,0,0,0,0,0.0,0,0,0
11,Tennessee SC ECNL G2012/13,Tennessee SC,133463,0,0,0,0,0,0.0,0,0,0
12,WNY Flash ECNL G2012/13,WNY Flash Academy,71192,0,0,0,0,0,0.0,0,0,0
