date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2026-11-21,10:45 AM,Group Play,WNY Flash ECNL G2010/11,,,FC Alliance TN ECNL G2010/11,Flash Fields,Field A,On Time,1133064
2026-11-22,10:15 AM,Group Play,Pittsburgh Riverhounds ECNL G2010/11,,,FC Alliance TN ECNL G2010/11,Highmark Stadium,Field 1,On Time,1133049
2026-11-22,10:45 AM,Group Play,WNY Flash ECNL G2010/11,,,Tennessee SC ECNL G2010/11,Flash Fields,Field A,On Time,1133046
2026-12-12,TBD,Group Play,Internationals SC ECNL G2010/2011,,,Cleveland Force SC ECNL G2010/11,,,On Time,1132860
2026-12-12,TBD,Group Play,Pittsburgh Riverhounds ECNL G2010/11,,,WNY Flash ECNL G2010/11,,,On Time,1132863
2026-12-12,TBD,Group Play,Ohio Premier ECNL G2010/11,,,GTFC Impact ECNL G2010/11,,,On Time,1132866
2027-03-06,TBD,Group Play,Ohio Premier ECNL G2010/11,,,WNY Flash ECNL G2010/11,,,On Time,1132908
2027-03-06,TBD,Group Play,GTFC Impact ECNL G2010/11,,,Pittsburgh Riverhounds ECNL G2010/11,,,On Time,1132911
2027-03-07,TBD,Group Play,Ohio Premier ECNL G2010/11,,,Pittsburgh Riverhounds ECNL G2010/11,,,On Time,1132923
2027-03-07,TBD,Group Play,GTFC Impact ECNL G2010/11,,,WNY Flash ECNL G2010/11,,,On Time,1132926
2027-03-20,TBD,Group Play,Cleveland Force SC ECNL G2010/11,,,WNY Flash ECNL G2010/11,,,On Time,1132959
2027-03-20,TBD,Group Play,Internationals SC ECNL G2010/2011,,,Pittsburgh Riverhounds ECNL G2010/11,,,On Time,1132962
2027-03-20,TBD,Group Play,GTFC Impact ECNL G2010/11,,,Indy Eleven ECNL G2010/11,,,On Time,1132965
2027-03-20,TBD,Group Play,Ohio Premier ECNL G2010/11,,,FC Pride Elite ECNL G2010/11,,,On Time,1132968
2027-03-21,TBD,Group Play,Cleveland Force SC ECNL G2010/11,,,Pittsburgh Riverhounds ECNL G2010/11,,,On Time,1132971
