date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2026-12-12,TBD,Group Play,Indy Eleven ECNL G2010/11,,,FC Pride Elite ECNL G2010/11,,,On Time,1132872
2026-12-12,TBD,Group Play,Tennessee SC ECNL G2010/11,,,FC Alliance TN ECNL G2010/11,,,On Time,1132875
2026-12-12,01:00 PM,Group Play,Racing Louisville Academy ECNL G2010/11,,,Ohio Elite SA ECNL G2010/11,Lynn Family Sports Vision & Training Facility,Field 3,On Time,1132869
2026-12-13,01:00 PM,Group Play,Racing Louisville Academy ECNL G2010/11,,,FC Pride Elite ECNL G2010/11,Lynn Family Sports Vision & Training Facility,Field 4,On Time,1132881
2027-02-13,TBD,Group Play,Tennessee SC ECNL G2010/11,,,Ohio Elite SA ECNL G2010/11,,,On Time,1132884
2027-02-13,TBD,Group Play,FC Alliance TN ECNL G2010/11,,,Racing Louisville Academy ECNL G2010/11,,,On Time,1132887
2027-02-13,11:45 AM,Group Play,Ohio Elite SA ECNL G2010/11,,,Indy Eleven ECNL G2010/11,Seven Hills School,Lower Field,On Time,1132878
2027-02-14,TBD,Group Play,Tennessee SC ECNL G2010/11,,,Racing Louisville Academy ECNL G2010/11,,,On Time,1132890
2027-02-14,TBD,Group Play,FC Alliance TN ECNL G2010/11,,,Ohio Elite SA ECNL G2010/11,,,On Time,1132893
2027-02-27,TBD,Group Play,Tennessee SC ECNL G2010/11,,,Cleveland Force SC ECNL G2010/11,,,On Time,1132896
2027-02-27,TBD,Group Play,FC Alliance TN ECNL G2010/11,,,Internationals SC ECNL G2010/2011,,,On Time,1132899
2027-02-28,TBD,Group Play,Tennessee SC ECNL G2010/11,,,Internationals SC ECNL G2010/2011,,,On Time,1132902
2027-02-28,TBD,Group Play,FC Alliance TN ECNL G2010/11,,,Cleveland Force SC ECNL G2010/11,,,On Time,1132905
2027-03-06,TBD,Group Play,FC Pride Elite ECNL G2010/11,,,Indy Eleven ECNL G2010/11,,,On Time,1132920
2027-03-06,11:00 AM,Group Play,Racing Louisville Academy ECNL G2010/11,,,FC Alliance TN ECNL G2010/11,Lynn Family Sports Vision & Training Facility,Field 1,On Time,1132917
2027-03-06,11:45 AM,Group Play,Ohio Elite SA ECNL G2010/11,,,Tennessee SC ECNL G2010/11,Seven Hills School,Lower Field,On Time,1132914
2027-03-07,11:00 AM,Group Play,Racing Louisville Academy ECNL G2010/11,,,Tennessee SC ECNL G2010/11,Lynn Family Sports Vision & Training Facility,Field 2,On Time,1132932
2027-03-07,11:45 AM,Group Play,Ohio Elite SA ECNL G2010/11,,,FC Alliance TN ECNL G2010/11,Seven Hills School,Lower Field,On Time,1132929
2027-03-13,TBD,Group Play,Tennessee SC ECNL G2010/11,,,GTFC Impact ECNL G2010/11,,,On Time,1132941
2027-03-13,TBD,Group Play,FC Alliance TN ECNL G2010/11,,,Ohio Premier ECNL G2010/11,,,On Time,1132944
2027-03-13,10:45 AM,Group Play,Ohio Elite SA ECNL G2010/11,,,Pittsburgh Riverhounds ECNL G2010/11,Seven Hills School,Lower Field,On Time,1132938
2027-03-13,11:00 AM,Group Play,Racing Louisville Academy ECNL G2010/11,,,WNY Flash ECNL G2010/11,Thurman Hutchins ,Field 7,On Time,1132935
2027-03-14,TBD,Group Play,Tennessee SC ECNL G2010/11,,,Ohio Premier ECNL G2010/11,,,On Time,1132953
2027-03-14,TBD,Group Play,FC Alliance TN ECNL G2010/11,,,GTFC Impact ECNL G2010/11,,,On Time,1132956
2027-03-14,10:15 AM,Group Play,Racing Louisville Academy ECNL G2010/11,,,Pittsburgh Riverhounds ECNL G2010/11,Thurman Hutchins ,Field 7,On Time,1132947
2027-03-14,10:45 AM,Group Play,Ohio Elite SA ECNL G2010/11,,,WNY Flash ECNL G2010/11,Seven Hills School,Lower Field,On Time,1132950
2027-03-21,TBD,Group Play,Ohio Elite SA ECNL G2010/11,,,Racing Louisville Academy ECNL G2010/11,,,On Time,1132983
2027-04-10,TBD,Group Play,Indy Eleven ECNL G2010/11,,,Tennessee SC ECNL G2010/11,,,On Time,1132995
2027-04-10,TBD,Group Play,FC Pride Elite ECNL G2010/11,,,FC Alliance TN ECNL G2010/11,,,On Time,1132998
2027-04-11,TBD,Group Play,Indy Eleven ECNL G2010/11,,,FC Alliance TN ECNL G2010/11,,,On Time,1133007
2027-04-11,TBD,Group Play,FC Pride Elite ECNL G2010/11,,,Tennessee SC ECNL G2010/11,,,On Time,1133010
2027-04-24,TBD,Group Play,Indy Eleven ECNL G2010/11,,,Cleveland Force SC ECNL G2010/11,,,On Time,1133040
2027-04-24,TBD,Group Play,FC Pride Elite ECNL G2010/11,,,Internationals SC ECNL G2010/2011,,,On Time,1133043
2027-04-25,TBD,Group Play,FC Pride Elite ECNL G2010/11,,,Cleveland Force SC ECNL G2010/11,,,On Time,1133058
2027-04-25,TBD,Group Play,Indy Eleven ECNL G2010/11,,,Internationals SC ECNL G2010/2011,,,On Time,1133061
2027-05-01,TBD,Group Play,Ohio Elite SA ECNL G2010/11,,,FC Pride Elite ECNL G2010/11,,,On Time,1133085
2027-05-01,TBD,Group Play,FC Alliance TN ECNL G2010/11,,,Tennessee SC ECNL G2010/11,,,On Time,1133091
2027-05-01,01:00 PM,Group Play,Racing Louisville Academy ECNL G2010/11,,,Indy Eleven ECNL G2010/11,Lynn Family Sports Vision & Training Facility,Field 1,On Time,1133088
2027-05-08,TBD,Group Play,Indy Eleven ECNL G2010/11,,,Ohio Elite SA ECNL G2010/11,,,On Time,1133106
2027-05-08,TBD,Group Play,FC Pride Elite ECNL G2010/11,,,Racing Louisville Academy ECNL G2010/11,,,On Time,1133109
2027-05-09,TBD,Group Play,Indy Eleven ECNL G2010/11,,,Racing Louisville Academy ECNL G2010/11,,,On Time,1133118
2027-05-09,TBD,Group Play,FC Pride Elite ECNL G2010/11,,,Ohio Elite SA ECNL G2010/11,,,On Time,1133121
2027-05-15,TBD,Group Play,Tennessee SC ECNL G2010/11,,,Indy Eleven ECNL G2010/11,,,On Time,1133130
2027-05-15,TBD,Group Play,FC Alliance TN ECNL G2010/11,,,FC Pride Elite ECNL G2010/11,,,On Time,1133133
2027-05-16,TBD,Group Play,Tennessee SC ECNL G2010/11,,,FC Pride Elite ECNL G2010/11,,,On Time,1133142
2027-05-16,TBD,Group Play,FC Alliance TN ECNL G2010/11,,,Indy Eleven ECNL G2010/11,,,On Time,1133145
