date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2026-12-12,TBD,Group Play,Pittsburgh Riverhounds ECNL G2008/09,,,WNY Flash ECNL G2008/09,,,On Time,1073338
2026-12-12,TBD,Group Play,Ohio Premier ECNL G2008/09,,,GTFC Impact ECNL G2008/09,,,On Time,1073339
2026-12-12,TBD,Group Play,Indy Eleven ECNL G2008/09,,,FC Pride Elite ECNL G2008/09,,,On Time,1073341
2026-12-12,TBD,Group Play,Tennessee SC ECNL G2008/09,,,FC Alliance TN ECNL G2008/09,,,On Time,1073342
2026-12-12,01:00 PM,Group Play,Racing Louisville Academy ECNL G2008/09,,,Ohio Elite SA ECNL G2008/09,Lynn Family Sports Vision & Training Facility,Field 1,On Time,1073340
2026-12-12,03:30 PM,Group Play,Internationals SC ECNL G2008/2009,,,Cleveland Force SC ECNL G2008/09,Pinnacle Sports,OT 11v11,On Time,1073337
2026-12-13,01:00 PM,Group Play,Racing Louisville Academy ECNL G2008/09,,,FC Pride Elite ECNL G2008/09,Lynn Family Sports Vision & Training Facility,Field 3,On Time,1073344
2026-12-19,10:00 AM,Group Play,FC Pride Elite ECNL G2008/09,,,Ohio Elite SA ECNL G2008/09,FC Pride Performance Center,Field 1,On Time,1073345
2027-02-13,03:30 PM,Group Play,Ohio Elite SA ECNL G2008/09,,,Indy Eleven ECNL G2008/09,Seven Hills School,Lower Field,On Time,1073343
2027-02-27,TBD,Group Play,Tennessee SC ECNL G2008/09,,,Cleveland Force SC ECNL G2008/09,,,On Time,1073346
2027-02-27,TBD,Group Play,FC Alliance TN ECNL G2008/09,,,Internationals SC ECNL G2008/2009,,,On Time,1073347
2027-02-28,TBD,Group Play,Tennessee SC ECNL G2008/09,,,Internationals SC ECNL G2008/2009,,,On Time,1073348
2027-02-28,TBD,Group Play,FC Alliance TN ECNL G2008/09,,,Cleveland Force SC ECNL G2008/09,,,On Time,1073349
2027-03-06,TBD,Group Play,Ohio Elite SA ECNL G2008/09,,,Tennessee SC ECNL G2008/09,,,On Time,1073350
2027-03-06,11:00 AM,Group Play,Racing Louisville Academy ECNL G2008/09,,,FC Alliance TN ECNL G2008/09,Lynn Family Sports Vision & Training Facility,Field 2,On Time,1073351
2027-03-07,11:00 AM,Group Play,Racing Louisville Academy ECNL G2008/09,,,Tennessee SC ECNL G2008/09,Lynn Family Sports Vision & Training Facility,Field 1,On Time,1073353
2027-03-07,03:30 PM,Group Play,Ohio Elite SA ECNL G2008/09,,,FC Alliance TN ECNL G2008/09,Seven Hills School,Lower Field,On Time,1073352
2027-03-13,TBD,Group Play,Ohio Elite SA ECNL G2008/09,,,Pittsburgh Riverhounds ECNL G2008/09,,,On Time,1073354
2027-03-13,TBD,Group Play,Tennessee SC ECNL G2008/09,,,GTFC Impact ECNL G2008/09,,,On Time,1073356
2027-03-13,TBD,Group Play,FC Alliance TN ECNL G2008/09,,,Ohio Premier ECNL G2008/09,,,On Time,1073357
2027-03-13,03:00 PM,Group Play,Racing Louisville Academy ECNL G2008/09,,,WNY Flash ECNL G2008/09,Lynn Family Sports Vision & Training Facility,Field 1,On Time,1073355
2027-03-14,TBD,Group Play,Tennessee SC ECNL G2008/09,,,Ohio Premier ECNL G2008/09,,,On Time,1073360
2027-03-14,TBD,Group Play,FC Alliance TN ECNL G2008/09,,,GTFC Impact ECNL G2008/09,,,On Time,1073361
2027-03-14,02:00 PM,Group Play,Racing Louisville Academy ECNL G2008/09,,,Pittsburgh Riverhounds ECNL G2008/09,Lynn Family Sports Vision & Training Facility,Field 1,On Time,1073359
2027-03-14,02:30 PM,Group Play,Ohio Elite SA ECNL G2008/09,,,WNY Flash ECNL G2008/09,Seven Hills School,Lower Field,On Time,1073358
2027-03-20,TBD,Group Play,Cleveland Force SC ECNL G2008/09,,,WNY Flash ECNL G2008/09,,,On Time,1073362
2027-03-20,TBD,Group Play,GTFC Impact ECNL G2008/09,,,Indy Eleven ECNL G2008/09,,,On Time,1073364
2027-03-20,TBD,Group Play,Ohio Premier ECNL G2008/09,,,FC Pride Elite ECNL G2008/09,,,On Time,1073365
2027-03-20,02:30 PM,Group Play,Internationals SC ECNL G2008/2009,,,Pittsburgh Riverhounds ECNL G2008/09,Pinnacle Sports,OT 11v11,On Time,1073363
2027-03-21,TBD,Group Play,Cleveland Force SC ECNL G2008/09,,,Pittsburgh Riverhounds ECNL G2008/09,,,On Time,1073366
2027-03-21,TBD,Group Play,GTFC Impact ECNL G2008/09,,,FC Pride Elite ECNL G2008/09,,,On Time,1073368
2027-03-21,TBD,Group Play,Ohio Premier ECNL G2008/09,,,Indy Eleven ECNL G2008/09,,,On Time,1073369
2027-03-21,02:30 PM,Group Play,Internationals SC ECNL G2008/2009,,,WNY Flash ECNL G2008/09,Pinnacle Sports,OT 11v11,On Time,1073367
2027-04-10,TBD,Group Play,GTFC Impact ECNL G2008/09,,,Cleveland Force SC ECNL G2008/09,,,On Time,1073370
2027-04-10,TBD,Group Play,Ohio Premier ECNL G2008/09,,,Internationals SC ECNL G2008/2009,,,On Time,1073371
