date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2026-08-29,09:00 AM,Group Play,Alabama FC ECNL G2013/14,,,Seminole United ECNL G2013/14,Dunnavant Valley Fields (DVF),Field # 2,On Time,1069693
2026-08-29,09:00 AM,Group Play,Concorde Fire Premier ECNL G2013/14,,,Florida Kraze Krush ECNL G2013/14,Georgia Sports Park ,field 5,On Time,1069695
2026-08-29,09:00 AM,Group Play,Atlanta Fire United ECNL G2013/14,,,Jacksonville FC ECNL G2013/14,Pinecrest Academy,Grass,On Time,1069699
2026-08-29,09:00 AM,Group Play,CESA Liberty ECNL G2013/14,,,Team Boca ECNL G2013/14,Mesa Soccer Complex,Field 3,On Time,1069701
2026-08-29,09:00 AM,Group Play,Concorde Fire Platinum ECNL G2013/14,,,Florida Premier FC ECNL G2013/14,Georgia Sports Park ,field 3,On Time,1069705
2026-08-29,11:00 AM,Group Play,GSA ECNL G2013/14,,,Tampa Bay United ECNL G2013/14,GSA East,#1,On Time,1069707
2026-08-29,01:00 PM,Group Play,United Futbol Academy ECNL G2013/14,,,Sporting SA JAX ECNL G2013/14,Fowler Park,Field 5,On Time,1069697
2026-08-29,01:00 PM,Group Play,South Carolina United ECNL G2013/14,,,Athletic Club Florida ECNL G2013/14,Southeastern Freight Lines Complex,Field 2,On Time,1069703
2026-08-30,09:00 AM,Group Play,Alabama FC ECNL G2013/14,,,Florida Kraze Krush ECNL G2013/14,Dunnavant Valley Fields (DVF),Field # 2,On Time,1069709
2026-08-30,09:00 AM,Group Play,Concorde Fire Premier ECNL G2013/14,,,Seminole United ECNL G2013/14,Georgia Sports Park ,field 5,On Time,1069711
2026-08-30,09:00 AM,Group Play,Atlanta Fire United ECNL G2013/14,,,Sporting SA JAX ECNL G2013/14,Pinecrest Academy,Grass,On Time,1069715
2026-08-30,09:00 AM,Group Play,CESA Liberty ECNL G2013/14,,,Athletic Club Florida ECNL G2013/14,Mesa Soccer Complex,Field 3,On Time,1069717
2026-08-30,09:00 AM,Group Play,Concorde Fire Platinum ECNL G2013/14,,,Tampa Bay United ECNL G2013/14,Georgia Sports Park ,field 3,On Time,1069721
2026-08-30,09:00 AM,Group Play,GSA ECNL G2013/14,,,Florida Premier FC ECNL G2013/14,GSA South,#5 ,On Time,1069723
2026-08-30,01:00 PM,Group Play,United Futbol Academy ECNL G2013/14,,,Jacksonville FC ECNL G2013/14,Fowler Park,Field 5,On Time,1069713
