rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Florida Premier FC ECNL G2012/13,Florida Premier FC,113726,2,2,0,0,6,3.0,9,2,7
2,CESA Liberty ECNL G2012/13,Carolina Elite Soccer Academy,87758,2,2,0,0,6,3.0,8,3,5
3,Sporting SA JAX ECNL G2012/13,Sporting SA,94389,2,2,0,0,6,3.0,6,1,5
4,Concorde Fire Premier ECNL G2012/13,Concorde Fire ,112296,2,1,0,1,4,2.0,7,2,5
5,Florida Kraze Krush ECNL G2012/13,Florida Kraze Krush,106035,2,1,0,1,4,2.0,6,3,3
6,South Carolina United ECNL G2012/13,South Carolina United FC,98643,2,1,0,1,4,2.0,4,3,1
7,Concorde Fire Platinum ECNL G2012/13,Concorde Fire ,112295,2,1,1,0,3,1.5,10,5,5
8,Alabama FC ECNL G2012/13,Alabama FC,98886,2,1,1,0,3,1.5,5,4,1
9,United Futbol Academy ECNL G2012/13,United Futbol Academy,105642,2,1,1,0,3,1.5,2,2,0
10,Atlanta Fire United ECNL G2012/13,Atlanta Fire United,79849,2,1,1,0,3,1.5,2,4,-2
11,GSA ECNL G2012/13,Gwinnett Soccer Academy,131500,2,1,1,0,3,1.5,2,5,-3
12,Athletic Club Florida ECNL G2012/13,Athletic Club Florida,105806,2,0,1,1,1,0.5,3,5,-2
13,Jacksonville FC ECNL G2012/13,Jacksonville FC,111248,2,0,2,0,0,0.0,0,3,-3
14,Team Boca ECNL G2012/13,Team Boca,131999,2,0,2,0,0,0.0,3,7,-4
15,Tampa Bay United ECNL G2012/13,Tampa Bay United,112271,2,0,2,0,0,0.0,1,10,-9
16,Seminole United ECNL G2012/13,Seminole United,105992,2,0,2,0,0,0.0,0,9,-9
