rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Alabama FC ECNL G2008/09,Alabama FC,58734,0,0,0,0,0,0.0,0,0,0
2,Athletic Club Florida ECNL G2008/09,Athletic Club Florida,38492,0,0,0,0,0,0.0,0,0,0
3,Atlanta Fire United ECNL G2008/09,Atlanta Fire United,60033,0,0,0,0,0,0.0,0,0,0
4,CESA Liberty ECNL G2008/09,Carolina Elite Soccer Academy,27972,0,0,0,0,0,0.0,0,0,0
5,Concorde Fire Platinum ECNL G2008/09,Concorde Fire ,59255,0,0,0,0,0,0.0,0,0,0
6,Concorde Fire Premier ECNL G2008/09,Concorde Fire ,59236,0,0,0,0,0,0.0,0,0,0
7,Florida Kraze Krush ECNL G2008/09,Florida Kraze Krush,34958,0,0,0,0,0,0.0,0,0,0
8,Florida Premier FC ECNL G2008/09,Florida Premier FC,69292,0,0,0,0,0,0.0,0,0,0
9,GSA ECNL G2008/09,Gwinnett Soccer Academy,131496,0,0,0,0,0,0.0,0,0,0
10,Jacksonville FC ECNL G2008/09,Jacksonville FC,45667,0,0,0,0,0,0.0,0,0,0
11,Seminole United ECNL G2008/09,Seminole United,59913,0,0,0,0,0,0.0,0,0,0
12,South Carolina United ECNL G2008/09,South Carolina United FC,50959,0,0,0,0,0,0.0,0,0,0
13,Sporting SA JAX ECNL G2008/09,Sporting SA,46901,0,0,0,0,0,0.0,0,0,0
14,Tampa Bay United ECNL G2008/09,Tampa Bay United,36328,0,0,0,0,0,0.0,0,0,0
15,Team Boca ECNL G2008/09,Team Boca,131994,0,0,0,0,0,0.0,0,0,0
16,United Futbol Academy ECNL G2008/09,United Futbol Academy,45834,0,0,0,0,0,0.0,0,0,0
