rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Pateadores Soccer Club ECNL G2013/14,Pateadores Soccer Club,126631,0,0,0,0,0,0.0,0,0,0
2,Utah Royals FC-AZ ECNL G2013/14,Utah Royals FC - AZ,90259,0,0,0,0,0,0.0,0,0,0
3,Sporting California USA ECNL G2013/14,Sporting California USA,134070,0,0,0,0,0,0.0,0,0,0
4,So Cal Blues ECNL G2013/14,So Cal Blues,135883,0,0,0,0,0,0.0,0,0,0
5,Slammers FC HB Koge ECNL G2013/14,Slammers FC,112900,0,0,0,0,0,0.0,0,0,0
6,SLAMMERS FC ECNL G2013/14,Slammers FC,107988,0,0,0,0,0,0.0,0,0,0
7,San Diego Surf ECNL G2013/14,San Diego Surf Soccer Club,132463,0,0,0,0,0,0.0,0,0,0
8,Rebels SC ECNL G2013/14,Rebels Soccer Club,90147,0,0,0,0,0,0.0,0,0,0
9,Phoenix Rising FC ECNL G2013/14,Phoenix Rising FC,121185,0,0,0,0,0,0.0,0,0,0
10,Arizona Arsenal ECNL G2013/14,Arizona Arsenal Soccer Club,134387,0,0,0,0,0,0.0,0,0,0
11,LV Heat Surf ECNL G2013/14,LV Heat Surf SC ,126712,0,0,0,0,0,0.0,0,0,0
12,Legends FC Del Mar ECNL G2013/14,Legends FC - Del Mar,131706,0,0,0,0,0,0.0,0,0,0
13,Legends FC (CA) ECNL G2013/14,Legends FC (CA),133032,0,0,0,0,0,0.0,0,0,0
14,LAFC So Cal ECNL G2013/14,LAFC So Cal,133715,0,0,0,0,0,0.0,0,0,0
15,LA Breakers FC ECNL G2013/14,LA Breakers FC,133854,0,0,0,0,0,0.0,0,0,0
16,Eagles SC ECNL G2013/14,Eagles SC,63947,0,0,0,0,0,0.0,0,0,0
17,Beach Futbol Club (CA) ECNL G2013/14,Beach Futbol Club,131925,0,0,0,0,0,0.0,0,0,0
