date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2026-09-12,09:00 AM,Group Play,Pateadores Soccer Club ECNL G2010/11,,,Slammers FC HB Koge ECNL G2010/11,Orange County Great Park,Field 9,On Time,1085345
2026-09-12,09:00 AM,Group Play,San Diego Surf ECNL G2010/11,,,Utah Royals FC-AZ ECNL G2010/11,Surf Sports Park,Field 4,On Time,1085363
2026-09-12,09:00 AM,Group Play,So Cal Blues ECNL G2010/11,,,Sporting California USA ECNL G2010/11,OC Great Park,Field 19,On Time,1085369
2026-09-12,10:15 AM,Group Play,Rebels SC ECNL G2010/11,,,Legends FC Del Mar ECNL G2010/11,Monte Vista High School,Stadium,On Time,1085357
2026-09-12,12:20 PM,Group Play,Eagles SC ECNL G2010/11,,,Legends FC (CA) ECNL G2010/11,Pleasant Valley Fields,Field 14,On Time,1085339
2026-09-12,07:00 PM,Group Play,Beach Futbol Club (CA) ECNL G2010/11,,,LAFC So Cal ECNL G2010/11,Long Beach City College - Liberal Arts Campus,Field 1,On Time,1085333
2026-09-13,09:00 AM,Group Play,SLAMMERS FC ECNL G2010/11,,,Utah Royals FC-AZ ECNL G2010/11,Arroyo Park,Field 1,On Time,1085375
2026-09-13,12:30 PM,Group Play,LV Heat Surf ECNL G2010/11,,,LA Breakers FC ECNL G2010/11,Heritage Park Sports Complex,Field 2,On Time,1085489
2026-09-19,TBD,Group Play,LAFC So Cal ECNL G2010/11,,,Rebels SC ECNL G2010/11,,,On Time,1085393
2026-09-19,08:00 AM,Group Play,Phoenix Rising FC ECNL G2010/11,,,LV Heat Surf ECNL G2010/11,PRFC Youth Soccer Facility,Field 2,On Time,1085411
2026-09-19,09:00 AM,Group Play,LA Breakers FC ECNL G2010/11,,,Beach Futbol Club (CA) ECNL G2010/11,Bell Gardens Sports Complex,Field 4,On Time,1085387
2026-09-19,11:00 AM,Group Play,Legends FC (CA) ECNL G2010/11,,,So Cal Blues ECNL G2010/11,Silverlakes Complex,Field 24,On Time,1085399
2026-09-19,12:00 PM,Group Play,Legends FC Del Mar ECNL G2010/11,,,SLAMMERS FC ECNL G2010/11,Canyon Crest Academy,Stadium,On Time,1085405
2026-09-19,12:00 PM,Group Play,Sporting California USA ECNL G2010/11,,,Slammers FC HB Koge ECNL G2010/11,San Bernardino Soccer Complex,Field 1,On Time,1085417
2026-09-19,12:20 PM,Group Play,Eagles SC ECNL G2010/11,,,Pateadores Soccer Club ECNL G2010/11,Pleasant Valley Fields,Field 14,On Time,1085381
2026-09-20,11:00 AM,Group Play,Utah Royals FC-AZ ECNL G2010/11,,,LV Heat Surf ECNL G2010/11,Bell Road Sports Complex,Field 15,On Time,1085423
2026-09-26,08:30 AM,Group Play,Rebels SC ECNL G2010/11,,,Slammers FC HB Koge ECNL G2010/11,Monte Vista High School,Stadium,On Time,1085447
2026-09-26,09:00 AM,Group Play,LA Breakers FC ECNL G2010/11,,,Pateadores Soccer Club ECNL G2010/11,Bell Gardens Sports Complex,Field 4,On Time,1085429
2026-09-26,10:00 AM,Group Play,Phoenix Rising FC ECNL G2010/11,,,Utah Royals FC-AZ ECNL G2010/11,PRFC Youth Soccer Facility,Field 2,On Time,1085441
2026-09-26,10:15 AM,Group Play,SLAMMERS FC ECNL G2010/11,,,Arizona Arsenal ECNL G2010/11,Arroyo Park,Field 1,On Time,1085453
2026-09-26,01:45 PM,Group Play,Sporting California USA ECNL G2010/11,,,San Diego Surf ECNL G2010/11,San Bernardino Soccer Complex,Field 1,On Time,1085459
