date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2026-09-12,09:00 AM,Group Play,San Diego Surf ECNL G2008/09,,,Utah Royals FC AZ ECNL G2008/09,Surf Sports Park,Field 3,On Time,1085361
2026-09-12,10:00 AM,Group Play,Eagles SC ECNL G2008/09,,,Legends FC (CA) ECNL G2008/09,Pleasant Valley Fields,Field 14,On Time,1085337
2026-09-12,01:00 PM,Group Play,Pateadores Soccer Club ECNL G2008/09,,,Slammers FC HB Koge ECNL G2008/09,Orange County Great Park,Field 9,On Time,1085343
2026-09-12,01:00 PM,Group Play,So Cal Blues ECNL G2008/09,,,Sporting California USA ECNL G2008/09,OC Great Park,Field 19,On Time,1085367
2026-09-12,03:45 PM,Group Play,Rebels SC ECNL G2008/09,,,Legends FC Del Mar ECNL G2008/09,Monte Vista High School,Stadium,On Time,1085355
2026-09-12,05:00 PM,Group Play,Beach Futbol Club (CA) ECNL G2008/09,,,LAFC So Cal ECNL G2008/09,Long Beach City College - Liberal Arts Campus,Field 2,On Time,1085331
2026-09-13,08:30 AM,Group Play,SLAMMERS FC ECNL G2008/09,,,Utah Royals FC AZ ECNL G2008/09,Saddleback College,Turf Field,On Time,1085373
2026-09-13,08:30 AM,Group Play,LV Heat Surf ECNL G2008/09,,,LA Breakers FC ECNL G2008/09,Heritage Park Sports Complex,FIeld 1,On Time,1085487
2026-09-19,TBD,Group Play,LAFC So Cal ECNL G2008/09,,,Rebels SC ECNL G2008/09,,,On Time,1085391
2026-09-19,08:00 AM,Group Play,Legends FC Del Mar ECNL G2008/09,,,SLAMMERS FC ECNL G2008/09,Canyon Crest Academy,Stadium,On Time,1085403
2026-09-19,08:00 AM,Group Play,Sporting California USA ECNL G2008/09,,,Slammers FC HB Koge ECNL G2008/09,San Bernardino Soccer Complex,Field 1,On Time,1085415
2026-09-19,09:00 AM,Group Play,Eagles SC ECNL G2008/09,,,Pateadores Soccer Club ECNL G2008/09,Pleasant Valley Fields,Field 14,On Time,1085379
2026-09-19,09:00 AM,Group Play,Legends FC (CA) ECNL G2008/09,,,So Cal Blues ECNL G2008/09,Silverlakes Complex,Field 24,On Time,1085397
2026-09-19,12:00 PM,Group Play,Phoenix Rising FC ECNL G2008/09,,,LV Heat Surf ECNL G2008/09,PRFC Youth Soccer Facility,Field 2,On Time,1085409
2026-09-19,01:00 PM,Group Play,LA Breakers FC ECNL G2008/09,,,Beach Futbol Club (CA) ECNL G2008/09,Bell Gardens Sports Complex,Field 4,On Time,1085385
2026-09-20,11:00 AM,Group Play,Utah Royals FC AZ ECNL G2008/09,,,LV Heat Surf ECNL G2008/09,Bell Road Sports Complex,Field 16,On Time,1085421
2026-09-26,08:00 AM,Group Play,Sporting California USA ECNL G2008/09,,,San Diego Surf ECNL G2008/09,San Bernardino Soccer Complex,Field 1,On Time,1085457
2026-09-26,12:00 PM,Group Play,Phoenix Rising FC ECNL G2008/09,,,Utah Royals FC AZ ECNL G2008/09,PRFC Youth Soccer Facility,Field 2,On Time,1085439
2026-09-26,12:00 PM,Group Play,SLAMMERS FC ECNL G2008/09,,,Arizona Arsenal ECNL G2008/09,Saddleback College,Turf Field,On Time,1085451
2026-09-26,01:00 PM,Group Play,LA Breakers FC ECNL G2008/09,,,Pateadores Soccer Club ECNL G2008/09,Bell Gardens Sports Complex,Field 4,On Time,1085427
