rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Pateadores Soccer Club ECNL G2008/09,Pateadores Soccer Club,130900,0,0,0,0,0,0.0,0,0,0
2,Utah Royals FC AZ ECNL G2008/09,Utah Royals FC - AZ,56530,0,0,0,0,0,0.0,0,0,0
3,Sporting California USA ECNL G2008/09,Sporting California USA,134098,0,0,0,0,0,0.0,0,0,0
4,So Cal Blues ECNL G2008/09,So Cal Blues,135784,0,0,0,0,0,0.0,0,0,0
5,Slammers FC HB Koge ECNL G2008/09,Slammers FC,133600,0,0,0,0,0,0.0,0,0,0
6,SLAMMERS FC ECNL G2008/09,Slammers FC,42498,0,0,0,0,0,0.0,0,0,0
7,San Diego Surf ECNL G2008/09,San Diego Surf Soccer Club,132458,0,0,0,0,0,0.0,0,0,0
8,Rebels SC ECNL G2008/09,Rebels Soccer Club,26385,0,0,0,0,0,0.0,0,0,0
9,Phoenix Rising FC ECNL G2008/09,Phoenix Rising FC,59771,0,0,0,0,0,0.0,0,0,0
10,Arizona Arsenal ECNL G2008/09,Arizona Arsenal Soccer Club,134275,0,0,0,0,0,0.0,0,0,0
11,LV Heat Surf ECNL G2008/09,LV Heat Surf SC ,50614,0,0,0,0,0,0.0,0,0,0
12,Legends FC Del Mar ECNL G2008/09,Legends FC - Del Mar,131727,0,0,0,0,0,0.0,0,0,0
13,Legends FC (CA) ECNL G2008/09,Legends FC (CA),133009,0,0,0,0,0,0.0,0,0,0
14,LAFC So Cal ECNL G2008/09,LAFC So Cal,133707,0,0,0,0,0,0.0,0,0,0
15,LA Breakers FC ECNL G2008/09,LA Breakers FC,55512,0,0,0,0,0,0.0,0,0,0
16,Eagles SC ECNL G2008/09,Eagles SC,6122,0,0,0,0,0,0.0,0,0,0
17,Beach Futbol Club (CA) ECNL G2008/09,Beach Futbol Club,131920,0,0,0,0,0,0.0,0,0,0
