date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2026-08-30,09:00 AM,Group Play,Colorado Storm ECNL G2011/12,3,0,Real Colorado Athletico ECNL G2011/12,Regis University,West Turf,On Time,1073406
2026-08-30,11:15 AM,Group Play,Real Colorado National ECNL G2011/12,2,0,Colorado Rush ECNL G2011/12,Real Colorado Soccer Complex,RCSC 1,On Time,1073412
2026-09-05,09:00 AM,Group Play,Albion Hurricanes FC ECNL G2011/12,2,0,Colorado Rush ECNL G2011/12,Campbell Road Sports Park,Field 2,On Time,1073430
2026-09-05,09:00 AM,Group Play,Challenge SC ECNL G2011/12,3,1,Real Colorado Athletico ECNL G2011/12,Burroughs Park,Field 4,On Time,1073436
2026-09-05,10:00 AM,Group Play,Colorado Storm ECNL G2011/12,1,2,Lonestar ATX Red ECNL G2011/12,Regis University,West Turf,On Time,1073418
2026-09-05,01:30 PM,Group Play,Real Colorado National ECNL G2011/12,2,2,FC Westlake ECNL G2011/12,Real Colorado Soccer Complex,RCSC 1,On Time,1073424
2026-09-06,08:30 AM,Group Play,Challenge SC ECNL G2011/12,,,Colorado Rush ECNL G2011/12,Burroughs Park,Field 4,On Time,1073454
2026-09-06,09:00 AM,Group Play,Albion Hurricanes FC ECNL G2011/12,,,Real Colorado Athletico ECNL G2011/12,Campbell Road Sports Park,Field 2,On Time,1073460
2026-09-06,11:15 AM,Group Play,Colorado Storm ECNL G2011/12,,,FC Westlake ECNL G2011/12,Stargate Charter School,Field 2,On Time,1073442
2026-09-06,01:30 PM,Group Play,Real Colorado National ECNL G2011/12,,,Lonestar ATX Red ECNL G2011/12,Real Colorado Soccer Complex,RCSC 1,On Time,1073448
2026-09-13,12:00 PM,Group Play,Sting Black ECNL G2011/12,,,Sting Royal ECNL G2011/12,Sting National Training Center,TBD,On Time,1073484
2026-09-19,11:00 AM,Group Play,West Side Alliance ECNL G2011/12,,,FC Westlake ECNL G2011/12,RiverCity Parks,Field 10,On Time,1073478
2026-09-19,11:00 AM,Group Play,FC Dallas Youth ECNL G2011/12,,,Colorado Storm ECNL G2011/12,Toyota Soccer Center,Field 10,On Time,1073616
2026-09-19,11:00 AM,Group Play,Sting Royal ECNL G2011/12,,,Real Colorado National ECNL G2011/12,Sting National Training Center,TBD,On Time,1073622
2026-09-19,01:00 PM,Group Play,Dallas Texans ECNL G2011/12,,,DKSC ECNL G2011/12,Heritage High School,Field 1,On Time,1073466
2026-09-19,01:00 PM,Group Play,OK Energy FC ECNL G2011/12,,,Lonestar ATX Red ECNL G2011/12,Edmond Soccer Club,ESC 5,On Time,1073472
2026-09-20,09:00 AM,Group Play,West Side Alliance ECNL G2011/12,,,Lonestar ATX Red ECNL G2011/12,RiverCity Parks,Field 9,On Time,1073496
2026-09-20,11:00 AM,Group Play,OK Energy FC ECNL G2011/12,,,FC Westlake ECNL G2011/12,Edmond Soccer Club,ESC 5,On Time,1073502
2026-09-20,11:00 AM,Group Play,Sting Royal ECNL G2011/12,,,Colorado Storm ECNL G2011/12,Sting National Training Center,TBD,On Time,1073640
2026-09-20,01:00 PM,Group Play,FC Dallas Youth ECNL G2011/12,,,Real Colorado National ECNL G2011/12,Toyota Soccer Center,Field 10,On Time,1073646
2026-09-20,01:30 PM,Group Play,Real Colorado National ECNL G2011/12,,,Real Colorado Athletico ECNL G2011/12,Real Colorado Soccer Complex,RCSC 1,On Time,1073490
2026-09-26,09:00 AM,Group Play,Real Colorado National ECNL G2011/12,,,Challenge SC ECNL G2011/12,Real Colorado Soccer Complex,RCSC Grass,On Time,1073514
2026-09-26,10:00 AM,Group Play,Colorado Storm ECNL G2011/12,,,Albion Hurricanes FC ECNL G2011/12,Regis University,West Turf,On Time,1073508
2026-09-26,11:00 AM,Group Play,FC Dallas Youth ECNL G2011/12,,,OK Energy FC ECNL G2011/12,Toyota Soccer Center,Field 10,On Time,1073544
2026-09-26,11:00 AM,Group Play,Sting Royal ECNL G2011/12,,,West Side Alliance ECNL G2011/12,Sting National Training Center,TBD,On Time,1073550
